SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2ncc(CC(=O)O)s2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,7.38,,14.75694,676.16,1,6,10,175.1656,104.64,7.3751
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2nccs2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)c(F)c1,7.89,,35.6202,636.15,0,5,8,163.7838,67.34,7.8871
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cn2cc(C(=O)O)cn2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.64,,7.12404,645.18,1,6,9,167.1941,109.57,6.6437
CC(C)(C)S(=O)(=O)C[C@H](C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.91,,30.5316,593.18,1,4,8,154.8776,91.75,6.9136
CC(C)(C)S(=O)(=O)C[C@H](CC(F)(F)F)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,7.07,,66.1518,621.13,1,4,8,148.2086,91.75,7.0659
CC(C)(C)S(=O)(=O)C[C@H](CC(F)(F)F)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.01,,11.95821,609.1,1,5,8,140.3576,100.98,6.0122
CC(C)(C)S(=O)(=O)NC1CCC(CC1)C(=O)NC2=NC=C(C=C2)C(F)(F)F,,,14.629725,407.15,2,4,4,95.4232,88.16,3.3156
CC(C)(C=NOC(=O)NC)SC,1.13,0.4809,1.89703008,190.08,1,4,3,51.6267,50.69,1.4698
CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,6.66,0.00107,128.48715,539.76,2,2,2,99.1416,40.46,6.4737
CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,7.15,0.00598,47.57841,363.96,2,2,2,88.3816,40.46,6.0373
CC(C)(C1=CC=CC=C1)C2=CC(=C(C=C2)O)C(C)(C)C3=CC=CC=C3,6.07,,325.6704,330.2,1,1,4,105.2468,20.23,6.044
CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)O,3.69,0.0231,69.20496,212.12,1,1,2,66.6768,20.23,3.7181
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2cc(O)c(Cl)cc2Cl)C1,5.79,,272.2401,512.16,3,4,9,141.4483,76.78,6.84237
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2cc(O)cc(Cl)c2)C1,5.14,,295.1388,478.2,3,4,9,136.4383,76.78,6.18897
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2cc(O)ccc2F)C1,4.62,,404.5437,462.23,3,4,9,131.3863,76.78,5.67467
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2ccc(Cl)c(O)c2)C1,5.14,,404.5437,478.2,3,4,9,136.4383,76.78,6.18897
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2cccc(O)c2F)C1,4.62,,173.0124,462.23,3,4,9,131.3863,76.78,5.67467
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(Oc2ccccc2O)C1,4.49,,162.8352,444.24,3,4,9,131.4283,76.78,5.53557
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC(OCc2cccc(O)c2)C1,4.62,,86.5062,458.26,3,4,10,135.5893,76.78,5.67337
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC[C@@H](Oc2cc(O)cc(F)c2)C1,5.01,,290.0502,476.25,3,4,9,136.0033,76.78,6.06477
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC[C@H](Oc2ccc(Cl)c(O)c2)C1,5.53,,272.2401,492.22,3,4,9,141.0553,76.78,6.57907
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC[C@H](Oc2ccccc2)C1,5.17,,58.5189,442.26,2,3,9,134.3805,56.55,6.22007
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CC[C@H](Oc2ccccc2O)C1,4.88,,76.329,458.26,3,4,9,136.0453,76.78,5.92567
CC(C)(CCC(C(=N)O)(c1ccccc1)c1ccccc1)N1CCC(Oc2cccc(O)c2)CC1,5.27,,38.1645,472.27,3,4,9,140.6623,76.78,6.31577
CC(C)(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.42,0.016,14.960484,397.08,3,8,6,100.3289,96.95,3.4218
CC(C)(CO)Oc1ccc(C(=N)O)c(O[C@@H]2CCN(C(=O)Cc3ccc(OC(F)(F)F)cc3)C[C@@H]2F)c1,3.39,,63.6075,528.19,3,6,9,125.0303,112.31,4.17877
CC(C)(F)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.96,0.007,48.3417,397.21,2,3,5,112.7376,60.77,4.9642
CC(C)[C@@H](C(=O)N[C@H]1CC2=CC=CC=C2[C@H]3CCC[C@H](N3C1=O)C(=O)O)SC(=O)C,2.47,0.319,14.120865,432.17,2,5,5,113.8365,103.78,2.5386
CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)NC2=NC=CS2,,,30.582486,294.06,1,3,4,79.7747,41.99,4.1748
CC(C)[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.98,,18.57339,594.17,1,4,10,153.4066,94.99,5.9802
CC(C)[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.77,,20.09997,581.18,1,4,8,152.3746,91.75,6.7695
CC(C)[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.72,,4.32531,569.14,1,5,8,144.5236,100.98,5.7158
CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.38,,16.02909,567.16,1,4,9,147.7576,91.75,6.3794
CC(C)[C@@H](CS(=O)(=O)N1CCCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.98,,25.443,594.17,1,4,9,153.4286,94.99,5.9818
CC(C)[C@@H](CS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.6,,27.9873,539.13,1,4,8,138.5456,91.75,5.6008
CC(C)C(=O)N(Cc1ccc(Cl)c(Cl)c1Cl)[C@H]1CCNC1,3.99,,22.38984,348.06,1,2,4,88.1347,32.34,3.9933
CC(C)C(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,3.34,,12.21264,314.1,1,2,4,83.1247,32.34,3.3399
CC(C)C(=O)N(Cc1cccc(Cl)c1Cl)[C@H]1CCNC1,3.34,,6.86961,314.1,1,2,4,83.1247,32.34,3.3399
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,3.35,0.03758,77.295834,276.07,1,3,3,61.5661,72.24,3.2081
CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,4.78,9.42e-07,25.315785,286.21,0,4,7,79.134,52.6,3.4356
CC(C)C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3,,,51.954606,389.13,3,8,8,109.5769,96.95,3.7797
CC(C)C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3,,,34.322607,390.12,3,7,8,107.9902,90.9,3.4908
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,0.22,0.9231,0.98566182,261.11,2,4,3,69.119,91.65,1.0709
CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,1.86,0.1513,6.2513451,311.13,2,4,3,86.625,91.65,2.2241
CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C(C2=O)C=C(C=C3)O,4.28,0.0415,119.5821,323.15,1,3,3,93.8668,57.61,4.4396
CC(C)C1=C(C(=CC=C1)C(C)C)O,3.79,0.016,272.2401,178.14,1,1,2,56.2848,20.23,3.639
CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,1.91,0.36,59.638392,409.24,2,5,4,116.6541,67.25,3.1246
CC(C)C1=CC(=CC=C1)C(C)C,4.12,0.01237,19.8150084,162.14,0,0,2,54.62,0.0,3.9334
CC(C)C1=CC(=CC=C1)O,3.01,0.14,50.63157,136.09,1,1,1,42.1958,20.23,2.5156
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,3.47,0.015,21.7970181,720.31,4,9,17,196.8969,145.78,5.9052
CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,4.21,0.0132,256.9743,333.16,1,4,5,91.1798,50.94,3.5875
CC(C)C1N(CCO1)CCOC(=O)NCCCCCCNC(=O)OCCN2CCOC2C(C)C,2.36,,1.46475351,486.34,2,8,15,129.4714,101.6,2.6278
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.89,0.01139,105.58845,396.09,0,5,5,87.9395,51.55,4.5165
CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC,4.75,,33.711975,401.05,0,5,5,88.429,47.03,5.2429
CC(C)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,5.26,0.0051,101.772,388.22,2,2,5,117.9635,56.33,5.2577
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)O)cc1,4.66,0.015,45.7974,379.21,2,3,5,112.3826,60.77,4.6561
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.48,0.07,83.9619,365.2,2,3,5,107.7716,60.77,4.482
CC(C)CN1[C@H](C)Cc2ccccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.78,0.021,114.4935,349.2,1,2,5,106.1068,40.54,4.7764
CC(C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,5.15,0.005,83.9619,415.2,2,3,5,112.3046,60.77,5.1503
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.87,0.035,15.2658,379.21,2,3,5,112.3886,60.77,4.8721
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21,2.7,,15.2658,480.18,2,7,5,133.796,100.33,2.6966
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,3.23,,43.2531,509.16,1,7,5,126.9413,84.54,3.2341
CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)[C@@H]3CC[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,3.71,,78.8733,544.13,1,8,6,131.2456,98.37,3.7144
CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,2.78,,208.6326,545.13,1,8,6,129.7966,101.61,2.7826
CC(C)Cn1c(=O)n(C)c(=O)c2c(S[C@@H]3CCC[C@H]3O)c(Cc3ccccc3C(F)(F)F)sc21,5.03,,27.9873,512.14,1,7,6,129.9168,64.23,5.0328
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3C[C@H](O)[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,4.0,,208.6326,528.14,2,8,6,131.3066,84.46,4.0036
CC(C)CN1CCc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)O)cc1,4.27,0.009,101.772,365.2,2,3,5,107.7876,60.77,4.2676
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,4.11,0.000435,877.7835,278.15,0,4,6,76.683,52.6,3.3122
CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,5.24,0.001,5.0886,366.27,0,3,10,114.186,15.71,4.8302
CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,4.6,,7.3555713,303.0,0,2,4,74.55,20.31,4.8439
CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F,3.2,0.1375,73.7847,363.07,0,5,5,79.428,55.32,3.5164
CC(C)N(C1=CC=CC=C1)C(=O)CCl,2.18,0.345,177.33771,211.08,0,1,3,59.784,20.31,2.6668
CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,3.0,0.2267,25.0511778,233.18,0,1,3,71.583,20.31,3.4697
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,2.58,0.16,1.1602008,339.23,1,3,8,102.2484,59.22,3.3619
CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,4.3,0.0003605,46.993221,305.16,0,3,2,90.938,35.91,4.1822
CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,4.85,0.15,88.185438,370.18,0,2,5,108.815,23.55,4.7885
CC(C)n1nc(-c2c[nH]c(=N)nc2-c2ccccc2)ccc1=O,2.53,0.228,25.443,307.14,2,5,3,87.7544,87.42,2.36077
CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,3.0,,29.76831,329.03,1,3,2,79.7177,69.72,2.88
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,2.93,0.03651,37.14678,229.11,2,5,4,62.3544,62.73,2.1656
CC(C)NC1=NC(=NC(=N1)OC)NC(C)C,2.99,0.0289,20.786931,225.16,2,6,5,63.8964,71.96,1.5208
CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,3.51,,91.035054,241.14,2,6,5,69.1254,62.73,2.2341
CC(C)NCC(COC1=CC=CC=C1CC=C)O,3.1,1.0,58.468014,249.17,2,3,8,74.9835,41.49,2.1528
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,4.94,0.00815,1432.4409,360.11,0,4,6,97.2615,52.6,4.68
CC(C)OC(=O)N1CCN(c2ccc(N=C(O)c3oc(N4CCCCC4)nc3C(F)(F)F)cn2)CC1,4.0,,61.57206,510.22,1,8,5,126.0348,107.53,4.382
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,3.51,0.0833,198.70983,213.06,1,2,2,56.6917,38.33,3.2969
CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC,3.17,0.836,104.697945,300.15,2,4,5,86.8054,59.59,3.8237
CC(C)OC1=C(C=CC(=C1)C2=CC=CC3=C2OC(=CC3=O)N4CCOCC4)NC(=O)CN5CCOCC5,,,221.60853,507.24,1,8,7,142.6047,93.48,3.3545
CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,4.75,,2.53081521,562.33,1,8,10,161.5037,92.29,5.0345
CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,3.7,0.01882,36.052731,323.11,1,2,4,81.6032,38.33,4.7449
CC(C)OC1=CC=CC=C1OC(=O)NC,1.52,0.2159,17.5531257,209.11,1,3,3,57.2897,47.56,2.192
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,4.21,0.006078,636.83829,397.06,1,6,10,100.8155,64.63,3.7726
CC(C)S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C,6.77,,16.02909,581.18,1,4,8,152.3746,91.75,6.7695
CC(C)S(=O)(=O)C[C@H](C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.74,,10.43163,539.13,1,4,8,138.5936,91.75,5.7433
CC(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.13,,50.886,565.15,1,4,9,145.6436,91.75,6.1334
CC(C)S(=O)(=O)C[C@H](C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.52,,50.886,579.16,1,4,9,150.2606,91.75,6.5235
CC(C1=C(C(=CC(=C1)C(C)(C)C)C(C)(C)C)O)C2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)O,8.7,,0.9744669,438.35,2,2,2,138.5306,40.46,8.4396
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,4.16,0.01,15.113142,244.09,1,1,3,67.8868,37.3,3.6808
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,3.12,0.008,11.8895139,254.09,1,2,4,72.3673,54.37,3.1057
CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,3.3,0.0141,78.36444,306.13,3,3,3,89.8764,60.69,4.1577
CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,3.24,,302.7717,214.1,2,2,2,63.7306,40.46,3.2496
CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,0.18,0.07,5.8468014,236.06,2,3,2,63.4489,66.56,2.7322
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,2.9,0.1086,3.9131334,291.11,1,4,5,77.2588,50.94,2.8654
CC(CCl)Cl,1.99,0.5441,145.508517,111.98,0,0,1,26.035,0.0,1.8525
CC(CCNCC12CC3CC(CC(C3)C1)C2)N=c1c(F)c[nH]c2cc(Cl)ccc12,6.02,,22.64427,415.22,2,2,6,116.3834,40.18,5.4457
CC(CN/C=C/1\C=CC=CC1=O)N/C=C/2\C=CC=CC2=O,3.07,,150.546231,282.14,2,4,5,83.3404,58.2,1.7121
CC(CO)(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,,,12.517956,413.08,4,9,7,101.7407,117.18,2.3942
CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,4.2,0.000907,42.896898,321.14,0,4,7,92.78,40.58,4.7202
CC(O)=Nc1ccc(F)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,3.65,,15.52023,448.16,2,5,6,117.4886,74.52,4.2964
CC(O)=Nc1ccc(F)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,3.13,,23.66199,432.19,2,5,6,112.4366,74.52,3.7821
CC(O)=Nc1ccccc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,3.51,,6.36075,430.17,2,5,6,117.5306,74.52,4.1573
CC(O)=Nc1ccccc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,2.99,,27.9873,414.2,2,5,6,112.4786,74.52,3.643
CC(O)=Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,3.2,0.01,8.65062,448.12,2,6,6,118.2108,111.96,3.85222
CC(O)=Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,3.23,0.12,1.01772,433.11,1,6,5,112.8541,99.93,3.88422
CC/C(=C(\C1=CC=C(C=C1)/C=C/C(=O)O)/C2=CC=C(C=C2)O)/C3=CC=CC=C3,,,139.809285,370.16,2,2,6,113.8676,57.53,5.8591
CC/C(=C\C(=N/O)\C(=O)N)/C(C)[N+](=O)[O-],0.11,3.07e-06,53.93916,215.09,2,5,5,53.2463,118.82,0.3035
CC[C@@]1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2,1.69,,3.56202,218.11,1,2,2,59.7127,49.41,1.4735
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,4.65,0.02,0.002381465,350.2,0,4,3,102.82,34.47,4.1483
CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,2.46,0.16,13.357575,415.16,2,7,5,115.6364,101.38,3.7543
CC[C@@H](c1ccccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,7.08,,17.8101,510.15,1,3,7,137.4778,70.5,7.0779
CC[C@@H](CN(C)S(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.37,,43.2531,596.19,1,4,9,155.5906,94.99,6.3703
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.73,,35.6202,580.16,1,4,10,148.8596,94.99,5.7342
CC[C@@H](CN(c1ccc(F)cc1)S(=O)(=O)C1CC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.39,,17.8101,648.13,1,5,11,162.1246,104.22,6.3944
CC[C@@H](CN(c1ccc(F)cc1F)S(=O)(=O)C1CC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.53,,12.21264,666.12,1,5,11,162.0826,104.22,6.5335
CC[C@@H](CN(c1ccccc1)S(=O)(=O)C1CC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.26,,8.39619,630.14,1,5,11,162.1666,104.22,6.2553
CC[C@@H](CN(c1ccccc1F)S(=O)(=O)C(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.64,,38.1645,650.14,1,5,11,164.2386,104.22,6.6404
CC[C@@H](CN(c1ccccc1F)S(C)(=O)=O)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.86,,11.95821,622.11,1,5,10,155.0266,104.22,5.8618
CC[C@@H](CNS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.03,,43.2531,582.17,2,4,9,150.9633,103.78,6.0281
CC[C@@H](CNS(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.39,,35.6202,566.14,2,4,10,144.2323,103.78,5.392
CC[C@@H](CNS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,4.86,,27.9873,540.13,2,4,9,137.1343,103.78,4.8594
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.52,,27.9873,567.16,1,4,8,147.8276,91.75,6.5235
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.47,,4.83417,555.12,1,5,8,139.9766,100.98,5.4698
CC[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,6.13,,27.9873,553.15,1,4,9,143.2106,91.75,6.1334
CC[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.08,,5.34303,541.11,1,5,9,135.3596,100.98,5.0797
CC[C@@H](CS(=O)(=O)C1CCCC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.61,,30.5316,567.12,1,5,9,142.4796,100.98,5.6139
CC[C@@H](CS(=O)(=O)c1ccccc1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.73,,25.443,575.09,1,5,9,144.9316,100.98,5.7304
CC[C@@H](CS(=O)(=O)C1COC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,4.07,,16.79238,555.09,1,6,9,134.8306,110.21,4.0701
CC[C@@H](CS(=O)(=O)CC(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.72,,21.88098,569.14,1,5,9,144.5456,100.98,5.7174
CC[C@@H](CS(=O)(=O)N(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,4.15,,48.3417,542.1,1,5,9,133.9106,104.22,4.1479
CC[C@@H](CS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.35,,23.40756,525.11,1,4,8,133.9986,91.75,5.3548
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,3.06,0.5653,10.278972,733.46,5,14,7,186.258,193.91,1.7856
CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,4.54,0.019,0.76329,565.1,1,5,3,122.9143,89.54,4.5417
CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,3.07,0.0369,25.163127,312.21,1,2,1,90.4928,37.3,3.8826
