SMILES,Clint,logP,Fup
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,0.6969722929837174,0.927197802197802,0.0658110882956879
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0.4345563388754413,0.4423076923076923,0.22587268993839837
C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2nnc(O)c3ccccc23)c1,0.22510600746170853,0.7293956043956042,0.08110882956878851
C=CC(O)=Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)c(C#N)c[nH]2)c(OC)cc1N(C)CCN(C)C,0.5272888260098995,0.8076923076923075,0.08110882956878851
C=CC(O)=Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.43858524681378647,0.8681318681318682,0.06673511293634497
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,0.42745562560156536,0.7651098901098901,0.015400410677618074
C=CC1=CC=CC=C1,0.7575208186118426,0.6112637362637363,0.17464065708418894
C=CCC1=CC2=C(C=C1)OCO2,0.5810891750357323,0.489010989010989,0.008100616016427106
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,0.4969458095749723,0.6497252747252746,0.9775154004106777
C1[C@@H]([C@H](C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O,0.9455867069856867,0.5920329670329669,0.002156057494866529
C1[C@H]([C@H](CN1C(=O)[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)O)O)O,0.2966183285698401,0.2637362637362637,0.013757700205338811
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,0.940895550831194,0.47939560439560436,0.1437371663244353
C1=C(C=C(C(=C1Br)O)Br)C#N,0.4902585389343053,0.5673076923076923,0.5031827515400411
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,0.24116865614515845,0.7554945054945055,0.03706365503080083
C1=C(C=C(C(=C1Cl)O)Cl)Cl,0.6257865755901878,0.7129120879120878,0.005256673511293634
C1=C(C=C(C=C1Cl)Cl)N,0.868694028722965,0.6043956043956042,0.04332648870636551
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,0.24416165463283004,0.559065934065934,0.4517453798767968
C1=CC(=C(C(=C1)Cl)Cl)Cl,0.4720621107086183,0.7664835164835164,0.005821355236139631
C1=CC(=C(C=C1Cl)N)N,0.7084511772247527,0.38186813186813184,0.37268993839835735
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,0.27894184206400696,0.2747252747252747,0.7196098562628338
C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,0.629446124973739,0.5631868131868132,0.02607802874743327
C1=CC(=CC(=C1)O)O,0.5850370795615394,0.3159340659340659,0.7544147843942506
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],0.1677694671299341,0.36263736263736257,0.3388090349075976
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,0.6443587053501353,0.5782967032967032,0.009856262833675565
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,0.5947074691585094,0.651098901098901,0.04650924024640658
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,0.6251966337456817,0.6126373626373626,0.014640657084188912
C1=CC(=CC=C1Cl)Cl,0.934832754755306,0.6785714285714285,0.013254620123203288
C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl,0.35749499416769326,0.17719780219780218,0.23100616016427106
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],0.666067326589257,0.43818681318681313,0.061078028747433274
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,0.38057514661949343,0.6991758241758241,0.02742299794661191
C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,0.1701910257783596,0.5343406593406593,0.08213552361396305
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,0.002299901055343813,0.7156593406593406,0.007186858316221767
C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O,0.8020489908538044,0.6387362637362637,0.03347022587268994
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,0.863776386761254,0.673076923076923,0.031827515400410684
C1=CC=C(C(=C1)O)O,0.7549376075420267,0.32692307692307687,0.01724845995893224
C1=CC=C(C=C1)[N+](=O)[O-],0.4960449559798901,0.46016483516483514,0.3843942505133471
C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,0.7431982734497035,0.5631868131868132,0.0013347022587268994
C1=CC=C(C=C1)C[N+]2=CC=CC3=CC=CC=C32.[Cl-],0.4790294317119116,0.6401098901098901,0.6047227926078029
C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,0.49828771580266523,0.635989010989011,0.03457905544147844
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,0.2817414873528909,0.36675824175824173,0.42843942505133475
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,0.6465920923129022,0.5989010989010988,0.06686858316221767
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0.5874029154527672,0.6662087912087912,0.2874743326488707
C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,0.6826738917374552,0.6456043956043955,0.018018480492813148
C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,0.4191806046989246,0.44917582417582413,0.018860369609856265
C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,0.16441427168580908,0.4807692307692307,0.051334702258726904
