SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,3.502777528233659,3.5745569271098394,400-500,75-100,7-10,5-7,1-3,3-4,0.020492136683705118
CCOC(=O)c1ccc(O)cc1,3.502777897318477,4.987951497816011,<200,<50,<3,3-5,1-3,2-3,0.42399881995285754
CN1CN(C(=S)SC1)C,3.5027767900640234,3.4843186073711023,<200,<50,<3,3-5,<1,0-1,0.005269584429490939
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,3.502778266403295,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.24192244976122085
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,3.502777897318477,1.9378037810571844,300-400,50-75,<3,3-5,1-3,2-3,0.44678088698133683
CCNc1nc(Cl)nc(NC(C)C)n1,3.502777528233659,2.821233560373706,200-300,50-75,3-5,5-7,1-3,2-3,0.19457243114326964
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,3.502777528233659,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.738453642778661
CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3,3.502778266403295,2.5518637282315644,500-600,50-75,3-5,5-7,<1,>=4,0.27147442017940693
CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,3.502777897318477,2.8349230581323863,200-300,<50,<3,3-5,<1,1-2,0.1906643530559968
CCCN(CCC)C(=O)SCCC,3.5027771591488412,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.19112937214979586
CCC(=O)C,3.502777528233659,4.870630406879055,<200,<50,<3,1-3,<1,0-1,0.3905051949620417
C1[C@H]([C@H](CN1C(=O)[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)O)O)O,3.502778635488113,1.84333733145567,400-500,100-150,5-7,5-7,5-7,0-1,0.4737501087112509
CNS(=O)(=O)c1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N(C(C)C1CC1)C2,3.502778635488113,0.8207265198063667,400-500,100-150,5-7,5-7,1-3,2-3,0.7656929342941234
CCc1ccc(O)c(C(C)(C)C)c1,3.5027771591488412,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.5880753196839532
CCOC1=CC2=CC=CC=C2OC1=O,3.502777528233659,4.206955728268953,<200,<50,<3,3-5,<1,1-2,0.2010342264038834
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,3.502778266403295,4.431060923804295,300-400,50-75,5-7,7-10,<1,2-3,0.2650132962159261
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.5027771591488412,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.2459788348894265
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.502777897318477,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.3371291357886146
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,3.502778266403295,3.249656482282344,200-300,<50,<3,1-3,1-3,3-4,0.07226316016908176
CC(C)(C)C1=NN=C(N(C1=O)N)SC,3.502777897318477,1.312316253610314,200-300,50-75,<3,5-7,1-3,1-2,0.6253498929506455
CCOC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)NC,3.502778266403295,1.3205016404694867,400-500,>=150,7-10,>=10,3-5,1-2,0.6230131709159574
CC(C)(C)NC(=O)NCCN1CCC(CC1)(CNC(=O)C2=CC(=CC(=C2)Cl)Cl)CO,3.502778266403295,2.9451568267153836,400-500,75-100,7-10,3-5,3-5,2-3,0.15919407154078383
C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,3.502777528233659,3.0949963717650415,<200,<50,3-5,1-3,<1,3-4,0.11641651123059565
CC(C)N(C1=CC=CC=C1)C(=O)CCl,3.502777897318477,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.47987661762125533
Cc1ccc(C)c(O)c1C,3.502777528233659,5.600995681169267,<200,<50,<3,1-3,1-3,2-3,0.599015509399259
CCCCCCOC1=CC=C(C=C1)N,3.502777897318477,5.312037759993743,<200,<50,5-7,1-3,1-3,3-4,0.5165214669217084
C1=C(C=C(C(=C1Br)O)Br)C#N,3.502777897318477,3.045163365618585,200-300,<50,<3,1-3,1-3,2-3,0.13064332773558202
C1CN(CCC1CC2=CC=C(C=C2)F)CCS(=O)C3=CC4=C(C=C3)NC(=O)O4,3.502777897318477,2.6748541246582795,400-500,50-75,5-7,3-5,1-3,>=4,0.23636206737127788
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,3.502777897318477,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.5790613383095425
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,3.502777528233659,2.7184285063678635,200-300,<50,<3,<1,<1,>=4,0.22392201126579847
C1=Cc2cccc3cccc1c23,3.502777528233659,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.006162430699528206
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,3.502777897318477,4.970271451552798,200-300,<50,<3,1-3,<1,>=4,0.4189513839158831
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.502777897318477,3.274991472994688,500-600,75-100,>=10,7-10,1-3,>=4,0.06503022615148334
CCOC(=O)c1ccc(N)cc1,3.502777897318477,5.819630602548275,<200,50-75,<3,3-5,1-3,1-2,0.6614329885024448
CC(O)=Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,3.502777897318477,0.7019681610657231,400-500,75-100,5-7,5-7,1-3,3-4,0.7995967762191671
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,3.502778266403295,1.9378037810571844,500-600,100-150,>=10,>=10,1-3,3-4,0.4467809923505188
CCC1OC=CC(=O)C1=O,3.502777528233659,5.33314527235854,<200,<50,<3,3-5,<1,0-1,0.5225475077989119
FCC(F)(F)F,3.5027767900640234,0.22870748389392712,<200,<50,<3,<1,<1,0-1,0.9347065701914867
COC[C@H](C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,3.502778266403295,2.934393959619913,300-400,50-75,7-10,3-5,1-3,>=4,0.16226673789188265
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,3.502777528233659,4.597751394682993,300-400,50-75,<3,3-5,<1,>=4,0.31260158886355455
CC(=CC(O)OC)O[P+](O)(OC)OC,3.502777528233659,2.5617295641011073,200-300,75-100,5-7,5-7,1-3,0-1,0.2686576344863486
CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,3.502777528233659,3.678111386004775,200-300,<50,<3,1-3,1-3,3-4,0.050055662696826125
COC(C)(C)C,3.5027771591488412,2.549878826883233,<200,<50,<3,1-3,<1,0-1,0.2720407690254622
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,3.502777528233659,4.800735489267813,300-400,50-75,<3,3-5,1-3,2-3,0.3705510545316295
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.5027771591488412,4.443699119055233,200-300,<50,<3,1-3,1-3,3-4,0.2686216618275409
CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,3.502777897318477,4.309154982576856,500-600,75-100,7-10,7-10,1-3,>=4,0.23021075278475167
CS(=O)(=O)c1ccc(C(CC2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,3.502777897318477,2.828928766584521,400-500,100-150,5-7,5-7,1-3,1-2,0.1923756496626001
CC1=C(C=C(C=C1)N)O,3.502777528233659,3.73071213771587,<200,<50,<3,1-3,1-3,0-1,0.06507253119399439
CC1=CC(=C(C=C1)O)C(C)(C)C,3.502777897318477,3.992235606361313,<200,<50,<3,1-3,1-3,3-4,0.1397341637243411
C(=C(Cl)Cl)(Cl)Cl,3.502777897318477,0.1305260661515327,<200,<50,<3,<1,<1,3-4,0.9627364750623447
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,3.5027771591488412,3.7548198047292756,200-300,50-75,5-7,3-5,<1,2-3,0.07195507937126025
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,3.502777897318477,2.8801992484742773,400-500,75-100,7-10,3-5,1-3,>=4,0.17773855685918066
CC(=O)Nc1ccc(O)cc1,3.502777897318477,0.649946912270624,<200,<50,<3,1-3,1-3,0-1,0.8144482037520878
COc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,3.502778266403295,2.819869414396008,300-400,50-75,7-10,3-5,1-3,>=4,0.19496208880190843
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,3.5027767900640234,2.201094789505169,200-300,75-100,3-5,5-7,1-3,2-3,0.37161422207204475
C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,3.502778635488113,3.4509902175913845,400-500,75-100,5-7,5-7,1-3,>=4,0.014784957171392157
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,3.502777897318477,3.6414413504985506,200-300,50-75,3-5,5-7,1-3,2-3,0.039586712623523465
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,3.502777897318477,3.019904653285736,300-400,50-75,5-7,5-7,<1,2-3,0.13785437984361087
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.502777528233659,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.2490545890325818
CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,3.502777897318477,4.507970292799597,300-400,<50,<3,1-3,1-3,3-4,0.2869700817243207
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.502777528233659,1.0924268113183644,<200,50-75,<3,5-7,1-3,<0,0.688125522364687
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,3.502777897318477,2.8816261821451543,400-500,100-150,7-10,5-7,3-5,1-2,0.17733118482374982
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,3.502777528233659,3.5866069434349686,400-500,<50,7-10,3-5,1-3,>=4,0.023932268329295802
CCN(CC)C(=O)C1=CC=CC(=C1)C,3.5027771591488412,2.3665647486203745,<200,<50,3-5,1-3,<1,2-3,0.3243746866483986
CCCC1=CC(=C(C=C1)O)OC,3.502777528233659,4.152452765609863,<200,<50,3-5,1-3,1-3,2-3,0.18547430004669027
CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,3.502777528233659,0.6859522691495428,200-300,75-100,3-5,3-5,1-3,0-1,0.8041690112623641
C(CCC(=O)NN)CC(=O)NN,3.5027767900640234,0.928677592965336,<200,100-150,5-7,3-5,3-5,<0,0.7348737020681061
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.502777528233659,1.8064181702367141,300-400,50-75,3-5,1-3,1-3,3-4,0.4842897596386987
CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C,3.5027771591488412,2.8073540561648045,300-400,50-75,3-5,3-5,1-3,3-4,0.1985347537381544
COC1CCC(n2nc(C)c(C(O)=N[C@@H](C)C(C)(C)C)c2NS(=O)(=O)c2ccc(C)cc2)CC1,3.502777897318477,2.3184072597381764,400-500,100-150,7-10,5-7,1-3,>=4,0.33812326892467853
C(=C(Cl)Cl)Cl,3.502777528233659,3.3651008019845494,<200,<50,<3,<1,<1,2-3,0.03930501420509999
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.502777897318477,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.7321038941512129
Oc1ccccc1Cc1ccccc1O,3.5027771591488412,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.5311844416958384
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,3.502777897318477,4.44220292070873,300-400,50-75,5-7,3-5,1-3,>=4,0.26819430483966106
COCCOC[C@H](CC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)OC3=CC4=C(CCC4)C=C3,3.502777528233659,3.265128731014349,500-600,100-150,>=10,5-7,1-3,3-4,0.06784581246963171
CCCCCCCC1CCC(=O)O1,3.5027771591488412,3.222649535457106,<200,<50,5-7,1-3,<1,3-4,0.07997299564286937
C1=CC=C(C=C1)NC2=CC=C(C=C2)O,3.502777528233659,5.2578959688614875,<200,<50,<3,1-3,1-3,2-3,0.5010647559681923
CN=C1C=NN(c2cccc(C(F)(F)F)c2)C(=O)C1Cl,3.502777897318477,3.374726327748756,300-400,<50,<3,3-5,<1,2-3,0.036557150202834496
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,3.502777528233659,1.7150298353152096,200-300,75-100,3-5,3-5,1-3,1-2,0.5103800066988361
CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,3.502777897318477,1.3279465048795942,300-400,75-100,<3,3-5,<1,2-3,0.6208876482059762
C1CN(CCN1CCC2=CC(=O)N(C3=C2C=CC(=C3)F)CC(=O)N)C4=NC=CC5=C4C=CS5,3.502777528233659,2.9424769503830155,400-500,75-100,5-7,7-10,1-3,2-3,0.1599589325773041
C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O,3.502777897318477,3.249656482282344,200-300,<50,<3,1-3,1-3,3-4,0.07226305479989976
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,3.502777897318477,1.5177655078946732,200-300,75-100,<3,5-7,1-3,2-3,0.5666966544689077
CCCCCCCC[Si](OCC)(OCC)OCC,3.502777528233659,3.3721103594482438,200-300,<50,>=10,3-5,<1,>=4,0.03730387165045014
CCC(C)(C)C1=CC(=C(C=C1O)C(C)(C)CC)O,3.502777528233659,3.4013647009968278,200-300,<50,3-5,1-3,1-3,>=4,0.02895211648126173
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,3.502778266403295,4.462948686380335,300-400,<50,<3,1-3,<1,3-4,0.27411686074107555
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,3.502777897318477,3.100510435676908,300-400,50-75,<3,3-5,<1,2-3,0.11484241908442114
CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2,3.502777897318477,3.4843186073711023,200-300,<50,<3,3-5,1-3,3-4,0.005269900537036546
CC1CC2C(CCC3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OCC23)NS1(=O)=O,3.502777897318477,0.7019681610657231,500-600,75-100,<3,5-7,1-3,>=4,0.7995967762191671
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,3.502777897318477,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.4331960006954745
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,3.5027771591488412,2.166717648208842,200-300,<50,<3,1-3,<1,2-3,0.38142857901297045
CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC,3.502777897318477,2.6281924485456436,300-400,75-100,5-7,3-5,3-5,3-4,0.2496834027371585
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,3.502778635488113,2.1866286493522855,400-500,100-150,5-7,7-10,1-3,1-2,0.37574465423814074
CSc1nnc(C(C)(C)C)c(=O)n1N,3.502777528233659,1.312316253610314,200-300,50-75,<3,5-7,1-3,1-2,0.6253497875814636
CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,3.502777897318477,3.456622659303656,300-400,100-150,5-7,7-10,1-3,2-3,0.013176753509738827
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,3.502777528233659,2.779635212312483,200-300,<50,3-5,1-3,1-3,>=4,0.20644824854538218
