SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCCC2)C2CC2)C1=O,5.74,,14.0,592.16,1,4,9,151.31459999999973,94.99,5.735800000000006
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(C)(=O)=O)C2CC2)C1=O,5.35,,6.1,537.11,1,4,8,136.43159999999995,91.75,5.354800000000005
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,2.95,0.0999,37.4,270.16,1,2,0,78.05180000000003,37.3,3.329300000000002
C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,1.47,0.4818,0.0,358.18,2,5,2,94.04860000000002,91.67000000000002,1.7658
C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O,6.61,,54.95,349.24,1,2,1,105.30680000000004,33.120000000000005,5.398600000000006
C[C@]12CC[C@@H](CC1=CCC3C2CC[C@]4(C3CC=C4N5C=NC6=CC=CC=C65)C)O,,,34.67,388.25,1,3,1,117.09880000000004,38.05,5.810800000000007
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,9.97,0.00264,2.4,606.32,2,3,14,152.65199999999976,57.53,8.682600000000004
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,3.13,0.0308,0.0,270.16,1,2,0,77.73080000000004,37.3,3.8174000000000032
C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O,3.53,0.0583,9.74,268.15,1,2,0,77.70680000000003,37.3,3.7375000000000025
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,3.55,0.0313,70.7,290.22,1,2,0,82.74080000000005,37.3,3.959100000000003
C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C,2.68,,6.61,340.2,0,3,0,94.67300000000006,43.370000000000005,4.370100000000003
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1.94,0.137,12.1,346.21,2,4,2,93.68260000000004,74.60000000000001,2.666700000000001
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,1.47,,17.38,360.19,2,5,2,94.14260000000004,91.67,1.9898
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,3.36,0.0329,12.7,302.22,1,2,0,87.33380000000005,37.3,4.269300000000004
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,2.75,0.1744,25.92,286.19,0,2,0,81.71700000000006,34.14,4.087400000000003
C[C@H]([C@@H](C(=O)NO)NC(=O)C1=CC=C(C=C1)C#CC2=CC=C(C=C2)CN3CCOCC3)O,,,15.14,437.2,4,6,6,117.82420000000003,111.13,0.9032000000000002
C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC)O,,,12.59,507.18,2,9,6,137.9784999999999,108.12,3.226300000000001
C[C@H](C(=O)O)OC1=CC(=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=C(C=C3)OCO4)F,3.12,0.0414,0.0,454.12,2,7,8,112.17200000000004,116.21,3.523600000000002
C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,3.9,0.0148,1010.0,349.05,0,5,6,85.60300000000004,57.650000000000006,3.6101000000000023
C[C@H](C1=NC2=C(C=CC=N2)C(=O)N1C3=CC=C(C=C3)Cl)N(CC4CCS(=O)(=O)CC4)C(=O)CC5=CC(=C(C=C5)C(F)(F)F)F,,,5.13,650.14,0,7,7,156.75679999999966,102.23,5.5491000000000055
C[C@H](CC1=CC(=CC=C1)CC(=O)NC23CC4CC(C2)CC(C4)C3)NC[C@@H](C5=CC(=C(C=C5)O)CO)O,,,21.9,492.3,5,5,10,139.34980000000002,101.82,3.766200000000005
C[C@H](CF)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.43,0.026,100.0,383.19,2,3,6,108.07260000000008,60.77,4.431600000000004
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C,4.71,0.009,170.0,419.17,2,3,6,107.98860000000003,60.77000000000001,4.709800000000004
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,5.1,0.002,39.0,433.19,2,3,6,112.60560000000004,60.77000000000001,5.099900000000004
C[C@H](CF)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.82,0.01,14.0,397.21,2,3,6,112.68960000000006,60.77000000000001,4.821700000000004
C[C@H](CO)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.23,0.046,26.0,404.21,3,3,6,119.37530000000004,76.56,4.230100000000003
C[C@H](CO)NC1=NC(=NC2=C1C=NN2)SCC3=C(C(=CC=C3)F)F,,,17.78,351.1,3,6,6,87.77320000000002,86.72,2.716100000000001
C[C@H](CO)NC1=NC(=NC2=C1N=CC(=O)N2)SCC3=C(C(=CC=C3)F)F,2.08,0.012,23.22,379.09,3,7,6,94.0432,103.79,2.0763
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.03,0.026,7.59,383.07,3,8,6,95.7119,96.95,3.0317000000000007
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3F,,,5.75,365.08,3,8,6,95.7539,96.95,2.8926000000000007
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=C(C(=CC=C3)Cl)F,3.26,0.0008,19.91,400.02,3,7,6,99.17719999999998,90.9,3.257100000000001
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3,2.46,0.0027,19.45,348.07,3,7,6,94.2092,90.9,2.4646
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3F,2.6,0.0016,30.12,366.06,3,7,6,94.1672,90.9,2.603700000000001
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,2.06,0.018,27.3,338.05,3,8,6,86.4752,104.04,2.0576
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(Cl)c2F)n1,2.72,,2.4,461.08,3,7,9,111.90600000000003,107.45,2.716500000000001
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1,2.2,0.01,3.1,445.11,3,7,9,106.85400000000004,107.45,2.2022000000000004
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCC2)nc(SCc2cccc(F)c2F)n1,2.59,0.006,12.0,459.12,3,7,9,111.47100000000005,107.45,2.5923000000000007
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,2.98,0.014,30.0,473.14,3,7,9,116.08800000000004,107.45,2.982400000000001
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,2.34,0.015,8.0,491.09,3,8,9,118.10800000000005,116.68,2.343
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(F)c2F)n1,1.83,0.03,4.6,475.12,3,8,9,113.05600000000004,116.68,1.8287
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(O)sc12,2.74,0.00295,15.0,384.05,3,8,6,92.9643,91.16,3.1551000000000013
C[C@H](Nc1c(C(=N)O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,3.35,0.13,2.8,478.27,3,8,10,137.5201999999999,116.48,4.132670000000004
C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C(C2=O)C(=C(C6=C5C(=O)[C@](O6)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)/C,4.5,0.29,0.0,846.44,5,14,4,226.76479999999933,205.54999999999995,4.615720000000005
C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,2.9,0.0,110.4,352.1,1,3,2,93.88570000000004,49.41,4.980700000000004
C[C@H]1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=C(C=C3)C,,,19.5,300.09,1,2,2,83.05610000000004,58.53,2.922220000000001
C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,0.55,0.629,1.74,281.16,2,4,3,72.55650000000003,83.47,1.0415
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC[C@@H]6C[C@@H](CC[C@@]6([C@H]5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1,5.47,,3.327,504.34,2,4,2,140.4272,67.42999999999999,5.028800000000004
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,5.25,0.0741,29.4,411.31,2,3,0,120.02550000000008,41.49,5.001900000000005
C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,3.75,,209.0,318.15,2,5,0,86.39210000000003,83.83,3.579600000000004
C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,13.5,434.12,1,3,6,114.39980000000006,60.85000000000001,3.895900000000002
C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)O[C@@H](C)C(=O)O,,,4.7,464.13,1,4,7,120.78580000000004,70.08,4.120700000000003
C[C@H]1CN(CCN1S(=O)(=O)CC2=CC=CC=C2)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,8.7,436.12,1,4,7,113.30260000000006,77.92,3.0032000000000005
C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2nnc(O)c3ccccc23)c1,3.81,0.089,1.2,500.16,1,7,4,119.5663,97.03000000000002,4.223200000000003
C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,1.36,0.002,6.294,405.11,2,6,3,95.26650000000002,100.87,0.9626999999999996
C[C@H]1COCCN1c1cc(C(C)(C)S(C)(=O)=O)nc(-c2ccc(NC(O)=NC3CC3)cc2)n1,2.93,,50.0,473.21,2,7,6,129.67330000000004,117.01,3.136700000000001
C[C@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2ccc(NC(O)=NC3CC3)cc2)n1,2.69,,37.8,471.19,2,7,6,127.55930000000006,117.01,2.8907000000000016
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3ccc4ncnc(O)c4c3)nc2n1,2.38,,176.4,473.22,1,10,3,132.7838,109.62,2.790800000000001
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(=O)N(C)C)N5CCOC[C@@H]5C,2.85,,4.27,506.26,0,9,5,142.59249999999986,93.15,2.8524000000000003
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(C)O)N5CCOC[C@@H]5C,3.2,,38.02,479.25,1,9,5,135.20879999999994,93.07,3.2039000000000017
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NCCO)N5CCOC[C@@H]5C,,,10.0,492.25,2,9,6,137.44199999999992,112.94,1.8641
C[N+](C)(C)CC1CO1.[Cl-],0.24,0.518,0.0,151.08,0,1,2,32.63939999999998,12.53,-2.9045999999999967
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,3.7,0.02893,6.959,315.1,0,3,4,83.70800000000003,30.71,1.9885
C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,8.03,,0.0,370.09,0,5,0,92.83500000000004,46.150000000000006,3.5920000000000023
C=CC(=O)NC1=CC=C(C=C1)F,1.46,,3.0,165.06,1,1,2,45.226700000000015,29.1,1.9502
C=CC(=O)NC1=CC=CC=C1,1.44,,30.9,147.07,1,1,2,45.26870000000002,29.1,1.8111
C=CC(O)=Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)c(C#N)c[nH]2)c(OC)cc1N(C)CCN(C)C,4.38,0.089,10.0,524.26,2,8,9,155.17749999999972,118.06,4.452880000000003
C=CC(O)=Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.82,0.075,5.6,513.29,2,8,10,156.70349999999965,91.04,5.467720000000005
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.16,0.023,10.0,533.23,2,8,10,156.9764999999997,91.04,5.812700000000007
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.32,0.032,14.0,520.21,2,9,10,149.24949999999976,103.41,4.968700000000005
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,4.07,0.025,5.2,518.19,2,9,8,147.11349999999976,103.41,4.721100000000005
C=CC(O)=Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.51,1.2645,3.4,499.27,2,8,10,151.96649999999974,91.04,5.159300000000004
C=CC1=CC=CC=C1,2.95,0.1801,42.99,104.06,0,0,1,36.53300000000001,0.0,2.3296
C=CCC1=CC2=C(C=C1)OCO2,2.06,0.01789,14.12,162.07,0,2,2,46.46600000000003,18.46,2.1438
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,3.23,0.9621,8.216,246.09,0,4,6,67.40100000000002,52.60000000000001,2.3722000000000003
