,Unnamed: 0,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
16,266,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,3.65,0.01078,5.092,427.88,0,4,12,86.54550000000003,44.760000000000005,4.682900000000003
17,291,C(C(F)(Cl)Cl)(F)(F)Cl,3.16,0.3622,0.2524,185.9,0,0,1,26.345,0.0,2.9189
18,293,C(C(F)(F)F)(C(F)(F)F)F,1.85,0.4582,5.048,170.0,0,0,0,17.006000000000004,0.0,2.4491
19,295,C(C(F)(F)F)(Cl)Cl,2.18,0.5388,51.48,151.94,0,0,0,21.549,0.0,2.3524000000000003
20,297,C(C(F)(F)F)F,0.83,0.8572,0.101,102.01,0,0,0,12.030000000000005,0.0,1.5182000000000002
21,333,C(CCC(=O)NN)CC(=O)NN,-0.29,0.9601,0.6018,174.11,4,4,5,43.1282,110.24,-1.473399999999998
22,357,C(CCl)Cl,1.48,0.6167,21.34,97.97,0,0,1,21.439999999999998,0.0,1.464
23,364,C(CCl)OP(=O)(OCCCl)OCCCl,1.44,0.44,2.04,283.95,0,4,9,57.62250000000002,44.760000000000005,2.8607000000000014
24,376,C(Cl)(Cl)(Cl)Cl,2.83,0.6105,4.281,151.88,0,0,0,26.143,0.0,2.5529
25,378,C(Cl)(Cl)Cl,1.97,0.5672,46.47,117.91,0,0,0,21.347,0.0,1.9864
26,394,C(CNCCN)N,-0.83,0.9678,2.003,103.11,3,3,4,30.9785,64.07,-1.5065999999999988
27,452,C(F)(F)(Cl)Cl,2.16,0.773,0.2524,119.93,0,0,0,16.653,0.0,2.0143
28,453,C(F)(F)(F)Br,1.86,0.838,5.048,147.91,0,0,0,14.982,0.0,1.9011
29,473,C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.0,0.8457,1.887,237.08,0,5,5,55.16050000000004,65.07000000000001,1.3959
30,474,C/C(=C\C(=O)NC)/OP(=O)(OC)OC,-0.2,0.898,1.49,223.06,1,5,5,50.53320000000002,73.86,1.0537
31,479,C/C(=C\C1=CC=C(C=C1)OCCN2CCOCC2)/C3=CC4=C(C=C3)C(CCC4(C)C)(C)C,6.38,0.0,0.0,433.3,0,3,6,134.46899999999997,21.700000000000003,6.307100000000007
32,485,C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC,1.7,,839.0,354.05,0,9,4,89.32700000000004,83.8,3.079200000000002
33,508,C[As](=O)(C)O,0.74,0.9058,0.1976,137.97,1,1,0,20.3873,37.3,0.1109999999999999
34,558,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,2.75,0.02436,17.74,311.11,1,4,3,91.65470000000003,44.7,3.4901000000000018
35,577,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,0.24,0.24,0.0,346.14,3,5,1,85.17340000000003,104.06000000000002,1.0270999999999997
36,589,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1.37,0.64,1.64,275.16,1,4,1,78.31570000000005,44.81,1.7739
37,610,C[C@@H](C1=CC=C(C=C1)C2=C(C=C(C=C2)F)F)N3CC[C@](OC3=O)(CCO)C4=CC=C(C=C4)F,2.77,0.008,3.72,455.17,1,3,6,117.79380000000003,49.77,5.952100000000005
38,612,C[C@@H](C1=CC=CC=C1F)SC2=NC3=C(C(=N2)N[C@H](CC(C)C)CO)SC(=N3)N,,,30.9,421.14,3,8,8,114.24590000000003,96.95,4.479800000000004
39,615,C[C@@H](C1=NC=C(C=C1)F)NC2=NC(=CN=C2C#N)NC3=NNC(=C3)C4CC4,,,7.94,364.16,3,7,6,96.82510000000002,115.20000000000002,3.399580000000001
40,624,C[C@@H](CN[C@@H]1COC2=CC=CC=C2SC1)CSC3=CC=CC=C3OC,,,51.29,375.13,1,5,7,107.33370000000004,30.49,4.566300000000004
41,625,C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,4.88,0.015,23.0,382.14,2,2,4,108.26550000000005,56.33,4.8780000000000046
42,637,C[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.08,,0.7,541.11,1,5,7,135.35959999999992,100.98000000000002,5.079700000000004
43,651,C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,4.3,0.06,12.0,473.15,1,6,5,126.98120000000006,75.02000000000001,4.297000000000004
44,652,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,3.78,0.19,4.0,457.18,1,6,5,121.92920000000008,75.02000000000001,3.782700000000003
45,653,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,2.68,0.12,11.0,457.19,1,7,5,120.90720000000005,79.18,2.6842000000000006
46,654,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCN(C)CC2)cn2c(=O)cc(N3CCOCC3)nc12,2.37,,6.0,512.23,1,8,5,136.29019999999994,82.42000000000002,2.37
47,655,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCOCC2)cn2c(=O)cc(N3CCOCC3)nc12,2.45,,6.0,499.2,1,8,5,129.61220000000006,88.41000000000001,2.4548000000000005
48,663,C[C@@H](Oc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,3.75,,7.0,458.17,0,6,5,118.93450000000006,72.22,3.7496000000000023
49,680,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,3.85,0.78,33.0,515.17,1,10,7,141.25869999999986,107.29000000000002,3.854000000000002
50,698,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,1.26,0.7,0.0,780.43,6,14,7,192.61079999999944,203.06,2.2181000000000024
51,716,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,2.43,0.01,0.0,803.48,3,12,7,212.5923999999993,178.36,4.639000000000004
52,718,C[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,4.15,0.027,0.4,551.09,1,5,2,118.29730000000002,89.53999999999999,4.151600000000004
53,744,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,3.84,8.72e-08,172.0,218.17,0,1,1,67.13300000000004,17.07,3.904200000000003
54,761,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,3.09,0.08,50.12,913.56,3,13,6,245.13739999999908,195.42999999999995,6.180600000000006
55,800,C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,4.85,0.023,78.0,419.17,2,3,5,108.03660000000004,60.77,4.852300000000003
56,801,C[C@@H]1Cc2cc(O)ccc2[C@@H](c2ccc(/C=C/C(=O)O)cc2)N1c1ccc(OC(F)(F)F)cc1,5.93,0.009,9.0,469.15,2,4,5,121.83160000000002,70.0,5.929200000000004
57,819,C[C@@H]1CN(C[C@@H](C1(C2=CC=CC=C2)O)C)C(=O)[C@@H]3CN(C[C@H]3C4=C(C=C(C=C4)F)F)C(C)(C)C,,,25.12,470.27,1,3,3,129.16180000000006,43.78,4.780900000000004
58,820,C[C@@H]1CN(C[C@@H](N1)C)C(=O)N[C@H](CC2=CC=C(C=C2)F)C(=O)N3CCC(CC3)(C4CCCCC4)C(=O)NC(C)(C)C,,,10.72,571.39,3,4,6,158.7740999999997,93.78,4.232400000000002
59,825,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN(C)c4cc(F)cc(F)c4)c3o2)CCO1,3.63,,5.0,471.2,0,6,5,126.59350000000003,66.23,3.6345000000000023
60,826,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN4CCOc5c(F)cc(F)cc54)c3o2)CCO1,3.4,,8.0,499.19,0,7,4,131.03150000000002,75.46000000000001,3.397100000000002
61,827,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN4CCOc5ccc(F)cc54)c3o2)CCO1,3.26,,15.0,481.2,0,7,4,131.07350000000002,75.46000000000001,3.258000000000002
62,828,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5ccc(F)cc54)c3o2)CCO1,3.03,,4.0,523.21,0,8,4,139.7784999999999,84.69000000000001,3.0286000000000017
63,836,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)C4=CC5=C(C=C4)C(=NN5C)C,2.9,0.28,7.41,462.27,1,6,4,130.00770000000006,94.26,2.897600000000001
64,837,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)C4=CC5=C(C=C4)C(=NO5)C,3.15,0.2,30.2,449.24,1,6,4,123.30270000000006,102.47,3.1521000000000017
65,838,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C,,,6.92,374.12,2,5,1,110.5119,66.91,4.3637200000000025
66,839,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,2.86,0.26,2.0,412.17,2,7,4,111.5608,107.85,2.8622700000000005
67,843,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](C)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,1.24,,35.0,868.48,8,16,7,212.7773999999993,235.67999999999995,1.2417000000000042
68,875,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCC2)C2CC2)C1=O,5.35,,17.0,578.14,1,4,9,146.69759999999982,94.99,5.345700000000005
69,876,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCCC2)C2CC2)C1=O,5.74,,14.0,592.16,1,4,9,151.31459999999973,94.99,5.735800000000006
70,877,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(C)(=O)=O)C2CC2)C1=O,5.35,,6.1,537.11,1,4,8,136.43159999999995,91.75,5.354800000000005
71,889,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,1.62,0.25,5.841,360.19,3,5,2,95.04840000000004,94.83,1.5576
72,892,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,2.95,0.0999,37.4,270.16,1,2,0,78.05180000000003,37.3,3.329300000000002
73,895,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,1.47,0.4818,0.0,358.18,2,5,2,94.04860000000002,91.67000000000002,1.7658
74,898,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O,6.61,,54.95,349.24,1,2,1,105.30680000000004,33.120000000000005,5.398600000000006
75,899,C[C@]12CC[C@@H](CC1=CCC3C2CC[C@]4(C3CC=C4N5C=NC6=CC=CC=C65)C)O,,,34.67,388.25,1,3,1,117.09880000000004,38.05,5.810800000000007
76,909,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,3.03,0.095,4.5,372.28,2,2,1,106.84240000000008,58.2,3.8145000000000016
77,913,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,9.97,0.00264,2.4,606.32,2,3,14,152.65199999999976,57.53,8.682600000000004
78,927,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,3.67,0.014,0.0,296.18,2,2,0,86.50660000000003,40.46,3.6126000000000023
79,931,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,2.97,0.0516,0.0,298.19,1,2,0,85.87580000000004,37.3,3.4925000000000024
80,943,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,3.13,0.0308,0.0,270.16,1,2,0,77.73080000000004,37.3,3.8174000000000032
81,945,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O,3.53,0.0583,9.74,268.15,1,2,0,77.70680000000003,37.3,3.7375000000000025
82,948,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,3.55,0.0313,70.7,290.22,1,2,0,82.74080000000005,37.3,3.959100000000003
83,953,C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C,2.68,,6.61,340.2,0,3,0,94.67300000000006,43.370000000000005,4.370100000000003
84,960,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1.94,0.137,12.1,346.21,2,4,2,93.68260000000004,74.60000000000001,2.666700000000001
85,961,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,1.47,,17.38,360.19,2,5,2,94.14260000000004,91.67,1.9898
86,964,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,3.36,0.0329,12.7,302.22,1,2,0,87.33380000000005,37.3,4.269300000000004
87,965,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,2.75,0.1744,25.92,286.19,0,2,0,81.71700000000006,34.14,4.087400000000003
88,977,C[C@H]([C@@H](C(=O)NO)NC(=O)C1=CC=C(C=C1)C#CC2=CC=C(C=C2)CN3CCOCC3)O,,,15.14,437.2,4,6,6,117.82420000000003,111.13,0.9032000000000002
89,988,C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC)O,,,12.59,507.18,2,9,6,137.9784999999999,108.12,3.226300000000001
90,991,C[C@H](C(=O)O)OC1=CC(=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=C(C=C3)OCO4)F,3.12,0.0414,0.0,454.12,2,7,8,112.17200000000004,116.21,3.523600000000002
91,992,C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,3.9,0.0148,1010.0,349.05,0,5,6,85.60300000000004,57.650000000000006,3.6101000000000023
92,1000,C[C@H](C1=NC2=C(C=CC=N2)C(=O)N1C3=CC=C(C=C3)Cl)N(CC4CCS(=O)(=O)CC4)C(=O)CC5=CC(=C(C=C5)C(F)(F)F)F,,,5.13,650.14,0,7,7,156.75679999999966,102.23,5.5491000000000055
93,1015,C[C@H](CC1=CC(=CC=C1)CC(=O)NC23CC4CC(C2)CC(C4)C3)NC[C@@H](C5=CC(=C(C=C5)O)CO)O,,,21.9,492.3,5,5,10,139.34980000000002,101.82,3.766200000000005
94,1030,C[C@H](CF)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.43,0.026,100.0,383.19,2,3,6,108.07260000000008,60.77,4.431600000000004
95,1031,C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C,4.71,0.009,170.0,419.17,2,3,6,107.98860000000003,60.77000000000001,4.709800000000004
96,1032,C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,5.1,0.002,39.0,433.19,2,3,6,112.60560000000004,60.77000000000001,5.099900000000004
97,1033,C[C@H](CF)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.82,0.01,14.0,397.21,2,3,6,112.68960000000006,60.77000000000001,4.821700000000004
98,1042,C[C@H](CO)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.23,0.046,26.0,404.21,3,3,6,119.37530000000004,76.56,4.230100000000003
99,1046,C[C@H](CO)NC1=NC(=NC2=C1C=NN2)SCC3=C(C(=CC=C3)F)F,,,17.78,351.1,3,6,6,87.77320000000002,86.72,2.716100000000001
100,1047,C[C@H](CO)NC1=NC(=NC2=C1N=CC(=O)N2)SCC3=C(C(=CC=C3)F)F,2.08,0.012,23.22,379.09,3,7,6,94.0432,103.79,2.0763
101,1048,C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.03,0.026,7.59,383.07,3,8,6,95.7119,96.95,3.0317000000000007
102,1049,C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3F,,,5.75,365.08,3,8,6,95.7539,96.95,2.8926000000000007
103,1050,C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=C(C(=CC=C3)Cl)F,3.26,0.0008,19.91,400.02,3,7,6,99.17719999999998,90.9,3.257100000000001
104,1051,C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3,2.46,0.0027,19.45,348.07,3,7,6,94.2092,90.9,2.4646
105,1052,C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3F,2.6,0.0016,30.12,366.06,3,7,6,94.1672,90.9,2.603700000000001
106,1053,C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,2.06,0.018,27.3,338.05,3,8,6,86.4752,104.04,2.0576
107,1057,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(Cl)c2F)n1,2.72,,2.4,461.08,3,7,9,111.90600000000003,107.45,2.716500000000001
108,1058,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1,2.2,0.01,3.1,445.11,3,7,9,106.85400000000004,107.45,2.2022000000000004
109,1059,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCC2)nc(SCc2cccc(F)c2F)n1,2.59,0.006,12.0,459.12,3,7,9,111.47100000000005,107.45,2.5923000000000007
110,1060,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,2.98,0.014,30.0,473.14,3,7,9,116.08800000000004,107.45,2.982400000000001
111,1062,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,2.34,0.015,8.0,491.09,3,8,9,118.10800000000005,116.68,2.343
112,1063,C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(F)c2F)n1,1.83,0.03,4.6,475.12,3,8,9,113.05600000000004,116.68,1.8287
113,1069,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(O)sc12,2.74,0.00295,15.0,384.05,3,8,6,92.9643,91.16,3.1551000000000013
114,1074,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.34,0.73,57.11,217.08,2,3,3,55.38780000000003,57.61,0.6279000000000001
115,1090,C[C@H](Nc1c(C(=N)O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,3.35,0.13,2.8,478.27,3,8,10,137.5201999999999,116.48,4.132670000000004
116,1116,C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C(=O)/C2=C\NN5CCN(CC5)C)O)/C,3.08,0.04344,0.0,822.41,6,15,4,216.6605999999993,216.66,3.4262200000000025
117,1119,C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C(C2=O)C(=C(C6=C5C(=O)[C@](O6)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)/C,4.5,0.29,0.0,846.44,5,14,4,226.76479999999933,205.54999999999995,4.615720000000005
118,1134,C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,2.9,0.0,110.4,352.1,1,3,2,93.88570000000004,49.41,4.980700000000004
119,1184,C[C@H]1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=C(C=C3)C,,,19.5,300.09,1,2,2,83.05610000000004,58.53,2.922220000000001
120,1187,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,0.55,0.629,1.74,281.16,2,4,3,72.55650000000003,83.47,1.0415
121,1191,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC[C@@H]6C[C@@H](CC[C@@]6([C@H]5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1,5.47,,3.327,504.34,2,4,2,140.4272,67.42999999999999,5.028800000000004
122,1192,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,5.25,0.0741,29.4,411.31,2,3,0,120.02550000000008,41.49,5.001900000000005
123,1200,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.72,0.23,5.452,374.21,3,5,2,99.59540000000004,94.83,1.8036000000000003
124,1221,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,3.75,,209.0,318.15,2,5,0,86.39210000000003,83.83,3.579600000000004
125,1238,C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,13.5,434.12,1,3,6,114.39980000000006,60.85000000000001,3.895900000000002
126,1239,C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)O[C@@H](C)C(=O)O,,,4.7,464.13,1,4,7,120.78580000000004,70.08,4.120700000000003
127,1241,C[C@H]1CN(CCN1S(=O)(=O)CC2=CC=CC=C2)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,8.7,436.12,1,4,7,113.30260000000006,77.92,3.0032000000000005
