SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,3.5226169420589595,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.7286625492887477
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.5226165721233262,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.2745002533862226
FC(F)(F)Br,3.522617681930226,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.25401359013834196
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.5226173119945927,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.5763448908806832
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.5226169420589595,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.5033114326724079
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.522618051865859,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.09588959158605893
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],3.522617681930226,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.12560996688522777
CCc1ccc(O)c(C(C)(C)C)c1,3.5226173119945927,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.5791309702560717
Cc1ccc(N)cc1O,3.522617681930226,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.059073813705995584
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.522617681930226,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.1202833871802087
COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.522618051865859,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.511970380260269
CC1=CC(=CC=C1)[N+](=O)[O-],3.522618051865859,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.07292999412636747
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,3.522618051865859,3.274991472994688,300-400,75-100,3-5,5-7,<1,0-1,0.07029618513218366
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,3.522618051865859,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.522560300412313
CCCCOC(=O)C1=CC=CC=C1C(=O)O,3.522618791737126,1.0551306388705257,200-300,50-75,5-7,3-5,1-3,2-3,0.7004700577623417
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,3.5226173119945927,4.244144362112037,300-400,<50,<3,1-3,<1,2-3,0.20482695889976246
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.522617681930226,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.09901546449491665
FC(F)(F)C(Cl)Cl,3.522617681930226,4.882654669320898,<200,<50,<3,<1,<1,2-3,0.38608703592343807
