1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
0.6653722524642944,0.6618318557739258,0.40301671624183655,0.814792275428772,0.7186750173568726,0.7186475992202759,0.6938540935516357,0.6655049324035645,0.346420556306839,0.5454198122024536,0.12661240994930267,0.20244307816028595,0.07482032477855682,0.37418845295906067,0.21086981892585754,0.27470847964286804,0.23322729766368866,0.23442693054676056,0.06731168925762177,0.3118516802787781,0.20236097276210785,0.20605626702308655,0.5757999420166016
0.8836984634399414,0.8263810873031616,0.6558399796485901,0.8974536657333374,0.8760464191436768,0.8652708530426025,0.8364402055740356,0.7975460886955261,0.6984891295433044,0.8335236310958862,0.4718419313430786,0.6354985237121582,0.8971533179283142,0.771970272064209,0.6071511507034302,0.5723727345466614,0.6382501125335693,0.6601189374923706,0.7602442502975464,1.3531365394592285,0.9660919308662415,1.2290067672729492,1.0371289253234863
0.7543533444404602,0.7549172639846802,0.5818958878517151,0.8798027038574219,0.7770249247550964,0.7742575407028198,0.7600210905075073,0.7657026052474976,0.5647523999214172,0.7506921291351318,0.3213966190814972,0.36943817138671875,0.23280145227909088,0.5159245729446411,0.23939542472362518,0.48168471455574036,0.3046073019504547,0.24603258073329926,0.12044542282819748,0.32066333293914795,0.19564507901668549,0.2648225724697113,0.48204848170280457
0.8325625061988831,0.8490660190582275,0.7610243558883667,0.8884779214859009,0.8540958166122437,0.8528862595558167,0.8487703800201416,0.859987735748291,0.7338329553604126,0.5563449263572693,0.3289102017879486,0.20871134102344513,-0.016333241015672684,0.3868615925312042,0.020525461062788963,0.22476132214069366,0.013647591695189476,-0.049243271350860596,-0.09739340841770172,0.16716130077838898,-0.02718181163072586,0.003230040892958641,0.3930611312389374
0.8934463262557983,0.8304465413093567,0.7262101173400879,0.8768201470375061,0.8489564657211304,0.8448013663291931,0.8423367738723755,0.8232040405273438,0.7310818433761597,0.8513665199279785,0.6150054335594177,0.6561944484710693,0.5137529373168945,0.7892705798149109,0.5140492916107178,0.644740104675293,0.5657856464385986,0.5042397379875183,0.28744322061538696,0.43758225440979004,0.04039126634597778,0.11033766716718674,0.6048843264579773
0.7744476795196533,0.7493381500244141,0.5800060033798218,0.8525976538658142,0.7995245456695557,0.7838963866233826,0.7565047740936279,0.718442440032959,0.5765613317489624,0.4053977429866791,0.22550369799137115,0.34001976251602173,0.38917917013168335,0.4596785008907318,0.374401330947876,0.21835990250110626,0.3824373483657837,0.3952119052410126,0.2815719544887543,0.4902963936328888,0.09504808485507965,0.24517600238323212,0.5377416014671326
1.0016860961914062,1.0117827653884888,0.9527533650398254,1.0098556280136108,1.0233988761901855,1.0185316801071167,1.01602303981781,0.9854952096939087,0.9255947470664978,0.8449234962463379,0.751373291015625,0.8711143136024475,0.816767692565918,0.9000295400619507,0.8088785409927368,0.8053774833679199,0.8550223112106323,0.7947574853897095,0.493104487657547,0.5791141986846924,0.1882590651512146,0.3617596924304962,0.7238313555717468
0.9334969520568848,0.9475751519203186,0.8909177184104919,0.9395678043365479,0.9613456130027771,0.9523012042045593,0.944298267364502,0.9258766174316406,0.8779855966567993,0.7375920414924622,0.6525099873542786,0.788804829120636,0.7506961822509766,0.8015359044075012,0.7289727926254272,0.724970817565918,0.7601503729820251,0.7141354084014893,0.4830029308795929,0.5511273145675659,0.2032787948846817,0.37498921155929565,0.6494396924972534
0.7554702758789062,0.7079594135284424,0.618369996547699,0.7618914842605591,0.7444486021995544,0.7467155456542969,0.7365567684173584,0.6982917785644531,0.6218921542167664,0.6657618880271912,0.6049481630325317,0.732914924621582,0.8058762550354004,0.7769556045532227,0.6981279850006104,0.7445361614227295,0.7739096283912659,0.7405213713645935,0.5204905867576599,0.5334664583206177,0.17795243859291077,0.31301558017730713,0.5438340306282043
0.7267502546310425,0.6690791845321655,0.5688822269439697,0.7394538521766663,0.7075112462043762,0.7099767923355103,0.6955206990242004,0.6600414514541626,0.5826348662376404,0.6413971185684204,0.5629909634590149,0.6874077320098877,0.7595244646072388,0.7518178224563599,0.6566852331161499,0.7030950784683228,0.7380609512329102,0.7008047699928284,0.4881059229373932,0.5111901760101318,0.1865629106760025,0.3126956820487976,0.5190192461013794
