SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.3363920400869986,4.4237667316091045,400-500,100-150,7-10,7-10,<1,2-3,0.32591335466908083
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,3.3363920400869986,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.22476432064438692
O=[N+]([O-])c1ccccc1,3.3363920400869986,3.081076705295394,<200,<50,<3,1-3,<1,1-2,0.07652438290973385
Oc1ccccc1O,3.3363923966587996,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.40507799749492107
Clc1ccc(Cl)cc1,3.336391683515197,5.804408801706431,<200,<50,<3,<1,<1,3-4,0.7397263745806704
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.3363920400869986,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.299254026805659
CCCSC(=O)N(CCC)CCC,3.3363923966587996,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.250530655202875
CNC(=O)Oc1ccccc1OC(C)C,3.3363920400869986,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.12461178741704204
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.336391683515197,3.7440432160689308,300-400,50-75,5-7,3-5,1-3,3-4,0.12218334631699337
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,3.3363920400869986,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.4879625571621329
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.3363920400869986,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.5580691060850808
CCCCCCCCn1sccc1=O,3.336391683515197,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.05127415706265733
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,3.3363920400869986,1.4991894926346008,400-500,75-100,<3,5-7,1-3,>=4,0.5506554917225783
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.3363920400869986,3.6137144581226854,200-300,50-75,5-7,5-7,<1,2-3,0.08312045543421077
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.336391683515197,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.6871954982151465
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,3.336391683515197,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.3081156721330092
