,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
80,c1ccc(Nc2cccc3ccccc23)cc1,4.2,0.006962,57.9,219.1,1,1,2,73.6727,12.03
81,Oc1cccc2ccccc12,2.85,0.0682,0.0,144.06,1,1,0,45.6128,20.23
82,Cc1cccc2ccccc12,3.87,,443.0,142.08,0,0,0,48.685,0.0
83,CN(C)CCNC(=O)c1cccn2c(=O)c3cc4ccccc4cc3nc12,2.24,,4.974,360.16,1,5,4,107.3612,66.71
84,CCC1(C2=NCCN2)Cc2ccccc2O1,2.23,,3.0,216.13,1,3,2,64.1007,33.62
85,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.56,0.00043,0.0,240.07,1,5,4,60.1216,106.51
86,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,2.94,0.08429,16.4,288.11,0,4,6,78.29,54.5
87,Cc1ccc(C(C)(C)C)c(O)c1,3.34,0.0264,36.0,164.12,1,1,0,51.5438,20.23
88,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,4.59,1.83e-07,117.0,222.16,2,2,0,67.1716,40.46
89,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,7.47,0.00513,0.0,368.27,2,2,4,115.1756,40.46
90,C=CN1CCCC1=O,0.37,0.953,0.0,111.07,0,1,1,31.144,20.31
91,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,4.46,0.169,0.0,329.2,0,4,5,95.484,55.73
92,Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,4.62,0.0,28.17,274.19,0,2,4,80.666,18.46
93,Cc1cccc(C)c1N,1.84,0.4311,8.96,121.09,1,1,0,40.3284,26.02
94,Clc1cccc(Cl)c1Cl,4.08,0.01567,6.984,179.93,0,0,0,41.472,0.0
95,CCCCCOC(=O)COc1cc(N2C(=O)C3=C(CCCC3)C2=O)c(F)cc1Cl,4.99,,432.0,423.12,0,5,8,105.376,72.91
96,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,4.59,0.032,28.84,559.19,2,8,8,153.0714,95.09
97,CN1CCCC1=O,-0.46,0.888,0.2081,99.07,0,1,0,26.871,20.31
98,CCC(Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,2.46,0.16,5.25,415.16,2,7,5,115.6364,101.38
99,c1ccc2c(c1)Cc1ccccc1-2,4.18,0.01567,12.08,166.08,0,0,0,54.684,0.0
100,COP(=S)(OC)SCn1nnc2ccccc2c1=O,2.75,0.2137,32.63,317.01,0,8,5,79.692,66.24
101,COc1ccc(CN(C(=O)C(N)Cc2c(C)cc(C(N)=O)cc2C)C(C)c2ncc(-c3ccccc3)[nH]2)cc1C(=O)O,1.82,,1.89,569.26,4,6,11,159.0553,164.63
102,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.5,0.7109,1.832,306.1,1,7,5,70.2988,81.65
103,O=NN(c1ccccc1)c1ccccc1,3.13,0.04368,8.288,198.08,0,2,3,60.818,32.67
104,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,4.82,3.22e-06,427.0,312.14,0,4,7,87.194,52.6
105,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,4.79,0.01614,42.12,352.13,0,2,4,104.0355,33.2
106,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,3.7,0.02893,6.959,315.1,0,3,4,83.708,30.71
107,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,4.81,,4.04,348.13,1,3,4,98.8178,55.12
108,Clc1ccc(COc2ccc(Br)cc2CN2CCOCC2)cc1,3.35,,54.95,395.03,0,3,5,96.022,21.7
109,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,4.8,0.003,6.76,501.17,2,6,8,136.6894,98.78
110,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,6.81,2.71e-06,27.7,334.21,0,4,12,95.291,52.6
111,CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.61,0.028,42.5,278.15,0,4,8,76.823,52.6
112,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,4.11,0.000435,345.0,278.15,0,4,6,76.683,52.6
113,CCOC(=O)c1ccccc1C(=O)OCC,2.44,0.19,42.5,222.09,0,4,4,58.355,52.6
114,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.19,0.017,2.336,300.07,1,3,1,82.9498,52.9
115,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,2.39,0.09,0.7399,320.01,2,3,1,83.1795,61.69
116,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,4.81,0.0167,33.2,429.27,1,3,2,129.4318,40.54
117,Oc1ccc2ccccc2c1N=Nc1ccccc1,3.87,0.00277,0.0,248.09,1,3,2,76.2308,44.95
118,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,4.27,0.00772,14.0,270.16,2,2,5,82.2776,40.46
119,O=C(O)c1c(Cl)ccc2cc(Cl)cnc12,2.77,0.02799,0.0,240.97,1,2,1,58.7223,50.19
120,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,2.57,0.45,1.4,255.01,2,5,1,64.1078,90.71
121,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.1,0.003404,28.31,394.14,0,6,3,105.9045,63.22
