SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C1=COC(=C1)C=O,0.41,,,,96.02,0,2,1,24.0955,30.21
C1=COC(=C1)CN,0.37,,,,97.05,1,2,1,26.5994,39.16
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,2.03,0.012,0,50.17452007,330.01,3,5,5,75.8192,122.63
C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,0.7,0.871,,,215.08,2,5,3,57.7184,79.63
C1=COC(=C1)CS,1.62,,,,114.01,1,2,1,31.398,13.14
C1=CSC(=C1)/C(=C\2/C3=C(C=CC(=C3)Cl)N(C2=O)C(=O)N)/O,2.73,0.0007,,,320,2,4,1,82.2832,83.63
C1=CSC(=C1)/C=C/S(=O)(=O)NC(=O)C2=C(C=C(C=C2)F)Br,3.69,,,,388.92,1,4,4,83.839,63.24
C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,4.02,,,,329.95,1,4,5,77.3443,63.6
C1=CSC(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-],1.45,,,,254.98,1,6,3,61.0406,85.13
C1=CSC(=C1)C=O,1.02036,,,,112,0,2,1,29.7065,17.07
C1=CSC(=C1)C2=CC=C(S2)C3=CC=CS3,5.57,,,,247.98,0,3,2,70.945,0
C1=CSC(=C1)CNC2=CC(=C(C=C2C3=NNN=N3)S(=O)(=O)N)Cl,1.5,,,,370.01,3,7,5,87.6426,126.65
C1=CSC(=C1)SSC2=CC=CS2,4.36,,,,229.94,0,4,3,60.352,0
C1=CSC(=N1)N,0.38,,,,100.01,1,3,0,26.5264,38.91
C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N,-1.57,,,,258.1,5,8,3,58.1667,156.85
C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)N,-1.59,,,,259.08,5,8,3,55.4191,151.06
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,-1.05,,,,267.1,4,9,2,62.7448,139.54
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,-1.84,,,,347.06,5,10,4,73.6551,186.07
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,-1.33,,,,507,7,14,8,95.4757,279.13
C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,-1.59,0.96,,1.629518995,273.06,3,7,5,62.5985,136.38
C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,-2.17,,,,244.08,4,9,2,53.7138,143.72
C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,-1.85,1,,2.411290323,244.08,4,8,3,51.5493,143.72
C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,-2.1,,,,268.08,4,8,2,61.1581,133.49
C1=NC(=O)NC(=C1F)N,-1,1,,0.768716578,129.03,2,3,0,29.2281,71.77
C1=NC(=S)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,-0.99,,,,284.06,4,8,2,65.7221,116.42
C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,-0.33,0.53,,,303.05,3,8,2,66.644,119.31
C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,-0.8,0.76,,0.939983328,285.09,4,9,2,62.7028,139.54
C1=NC2=C(N1)C(=O)N=C(N2)N,-0.909385,,,,151.05,3,4,0,38.9218,100.45
C1=NC2=C(N1)C(=O)N=CN2,-0.69,,,,136.04,2,3,0,34.5094,74.43
C1=NC2=C(N1)C(=S)N=C(N2)N,-0.07,0.804,2.36,,167.03,3,4,0,43.4858,83.38
C1=NC2=C(N1)C(=S)N=CN2,0.01,0.85,,22.25232198,152.02,2,3,0,39.0734,57.36
C1=NC2=C(N1CCC(CO)CO)NC(=NC2=O)N,-0.86,0.84,,,253.12,4,7,5,64.8397,130.05
C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N,-1.66,0.99,,0.707047806,255.1,4,8,5,61.6057,139.28
C1=NC2=C(N1COCCO)NC(=NC2=O)N,-1.03,0.85,,2.483915441,225.09,3,7,4,55.5989,119.05
C1=NC2=NC=NC(=C2N1)N,-0.09,,,,135.05,2,4,0,36.0961,80.48
C1=NC2C(N1)C(=S)NC=N2.O,-0.46,,,,172.04,2,4,0,47.0432,80.28
C1=NN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,-1.83,,,,244.08,4,9,2,53.7138,143.72
C1=NN=CN1N,-0.25,,,,84.04,1,4,0,20.1724,56.73
C1=NN=NN1CC(=O)O,-1.01,,,,128.03,1,5,2,25.4528,80.9
C1=NNC(=N1)N,-0.92,,,,84.04,2,3,0,20.7951,67.59
C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F,8.35,,,,461.97,0,0,0,47.254,0
C12(C3(C(C(C(C1(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)(F)F)(F)F)(C(C(C(C3(F)F)(F)F)(F)F)(F)F)F)F)F,8.53,,,,623.96,0,0,0,64.826,0
C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,6.89,0.01508,0,,539.63,0,0,0,97.546,0
C12=C(C(=C(C(=C1Br)Br)Br)Br)C(=O)OC2=O,3.1,,,,459.66,0,3,0,66.988,43.37
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,2.66,,,,283.86,0,3,0,56.228,43.37
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,8.70845,,,,455.74,0,2,0,93.112,18.46
C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2.83,,,,367.81,0,3,0,68.416,43.37
C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,4.98,0.01068,0,,385.82,0,1,0,75.619,12.53
C12C(NC(=O)N1)NC(=O)N2,-1.34,,,,142.05,4,2,0,30.9108,82.26
C1C(=C(N2[C@@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N.[Na+],-0.76,,,,554.05,2,9,8,121.0908,193.71
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,-0.27,0.4,,,462.08,5,9,7,111.8264,174.53
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl,0.8,,,,367.04,3,5,4,88.9079,112.73
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O,-0.35,0.19,,,519.1,4,11,10,123.8987,193.63
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N,-0.59,,,,458.07,2,7,7,110.2336,136.51
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,-1.62,0.8,,,415.07,1,6,6,101.7157,93.42
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+],-0.67,,,,462,1,13,7,95.5057,158.92
C1C(=O)CC2=CC=CC=C21,2.27,,,,132.06,0,1,0,38.857,17.07
C1C(=O)N=C2C=CC(=CC2=C(N1O)C3=CC=CC=C3)Cl,1.49,,,,286.05,1,3,1,74.6845,52.9
C1C(=O)NC(=NC1=O)N,-0.960145,,,,127.04,2,3,0,29.3891,84.55
C1C(=O)NC(=O)N1,-1.68835,,,,100.03,2,2,0,21.5414,58.2
C1C(=O)NC(=O)NC1=O,-1.47,,,,128.02,2,3,0,26.2984,75.27
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,2.19,0.13,,,281.08,1,4,2,78.6741,84.6
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,2.41,0.21,15,1.772383877,315.04,1,4,2,83.6841,84.6
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,1.87,0.48,,0.988220993,315,1,3,1,77.5147,54.35
C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,2.93,0.03,,,270.06,1,2,1,77.0297,41.46
C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,3.15,0.051,,,304.02,1,2,1,82.0397,41.46
C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl,3.36,,,,311.01,0,1,2,67.648,20.31
C1C(C(CS1(=O)=O)(Cl)Cl)(Cl)Cl,2.87,,,,255.87,0,2,0,47.5278,34.14
C1C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)CBr,5.9,,,,389.77,0,0,1,72.238,0
C1C(CC(=O)NC1=O)C2=CC=C(C=C2)Cl,1.97,,,,223.04,1,2,1,56.5767,46.17
C1C(CC1(F)F)CN2C(C3=CC=CC=C3C2=O)C(=O)NCC4=CC=C(C=C4)OC(F)(F)F,,,10,,454.13,1,3,6,102.8622,58.64
C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,7.34,,,,538.06,1,3,3,148.6848,37.3
C1C(CN(C1=O)CC(=O)N)O,-2.12,,,,158.07,2,3,2,36.3982,83.63
C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O,0.13,0.16,,5.693830191,440.05,3,7,3,101.8155,121.68
C1C(COC(O1)C(Cl)(Cl)Cl)(CO)CO,1.21,,,,263.97,2,4,2,52.5866,58.92
C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,3.24,,,,374.95,0,4,3,81.446,39.94
C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,3.13473,,,,242.09,2,3,1,68.1536,49.69
C1C(COCO1)([N+](=O)[O-])Br,0.01,,,,210.95,0,4,1,35.4234,61.6
C1C(COCO1)(CO)CO,-0.63,,,,148.07,2,4,2,33.3756,58.92
C1C(N(C(S1)C2=CC=CC=C2Cl)C(=O)C3=CC=C(C=C3)Cl)C(=O)O,,,15.49,,381,1,3,3,95.6963,57.61
C1C(O[C@H](O1)CO)N2C=CC(=NC2=O)N,-1.53,,,,213.07,2,7,2,49.8572,99.6
C1C(O1)C(=O)N,-0.53,0.98,,,87.03,1,2,1,18.9344,55.62
C1C(O1)C2=CC=CC=C2,1.61,,,,120.06,0,1,1,35.135,12.53
C1C(O1)CBr,0.85,,,,135.95,0,1,1,23.534,12.53
C1C(O1)CCl,0.45,,,,92,0,1,1,20.46,12.53
C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)CC4=CC=C(C=C4)N(CC5CO5)CC6CO6,2.82,,,,422.22,0,6,12,119.076,56.6
C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,1.5,,,,277.13,0,5,8,73.37,50.06
C1C(O1)CN2C(=O)N(C(=O)N(C2=O)CC3CO3)CC4CO4,-0.2,0.402,180,,297.1,0,9,6,68.442,103.59
C1C(O1)CO,-0.95,,,,74.04,1,2,1,16.8258,32.76
C1C(O1)COC2=CC(=CC=C2)OCC3CO3,1.7,,,,222.09,0,4,6,56.912,43.52
C1C(O1)COC2=CC=C(C=C2)C(C3=CC=C(C=C3)OCC4CO4)C(C5=CC=C(C=C5)OCC6CO6)C7=CC=C(C=C7)OCC8CO8,5.4307,,,,622.26,0,8,17,170.394,87.04
C1C(O1)COC2=CC=C(C=C2)C(C3=CC=C(C=C3)OCC4CO4)C5=CC=C(C=C5)OCC6CO6,4.11,,,,460.19,0,6,12,125.976,65.28
C1C(O1)COC2=CC=C(C=C2)CC3=CC=C(C=C3)OCC4CO4,3.38,,,,312.14,0,4,8,86.16,43.52
C1C(O1)COC2=CC=CC=C2,1.91,,,,150.07,0,2,3,41.677,21.76
C1C(O1)COCCCCOCC2CO2,0.6,,,,202.12,0,4,9,50.352,43.52
C1C(O1)COCCOCC2CO2,-0.07,,,,174.09,0,4,7,41.118,43.52
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,2.52352,,,,272.07,3,5,1,70.1949,86.99
C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=C(C=C3)C4=CNN=C4,3.29,,14.19,,321.11,2,4,3,89.0064,76.24
C1C(OC2=CC=CC=C2O1)CN=C(N)N,0.02,,,,207.1,2,3,2,57.0298,82.86
C1C(OC2=CC=CC=C2O1)CN3C4=C(C(=O)N(C3=O)O)SC=C4,,,134.9,,332.05,1,8,2,83.8825,82.69
C1C(S/C(=C(/C#N)\N2C=CN=C2)/S1)C3=CC=CC=C3Cl,3.17,,,,319,0,5,2,85.298,41.61
C1C[C@@H]([C@@H]([C@@H]2[C@@H]1CN3CCC4=C([C@@H]3C2)NC5=CC=CC=C45)C(=O)O)O.O,0.75,,,,358.19,3,3,1,97.8941,108.06
C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CC[C@@H](C4)O)C5=C(C=CC(=C5)F)F,2.44,0.3,,,428.18,2,6,3,109.8815,86
C1C[C@@H](N[C@@H]1CC2=CC=C(C=C2)NC(=O)[C@@H]3CCC4=NC=CC(=O)N34)[C@@H](C5=CC=CC=C5)O,2.38,0.4955,,,444.22,3,6,6,125.9782,96.25
C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,-0.63,0.96,,1.833152116,211.1,2,6,2,53.1392,90.37
C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N,-0.25,,,,235.11,2,7,2,59.9652,99.08
C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O,-1.24,0.951,0,8.579761259,236.09,2,6,2,58.3785,93.03
C1C[C@@H]2C[C@H]1N3[C@H](O2)CN4C=C(C(=O)C(=C4C3=O)O)C(=O)NCC5=C(C=C(C=C5F)F)F,1.36,0.01,,,449.12,2,6,3,102.3225,100.87
C1C[C@H]([C@@H](NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O.Cl,2.32,,,,448.99,2,6,4,102.6165,84.22
C1C[C@H]([C@@H]2[C@@H]([C@@H](CN2C1)O)O)O,-1.02,,,,173.11,3,4,0,42.6154,63.93
C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N,-1.66,,,,451.26,9,13,6,106.9812,247.94
C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)NC(=O)[C@H](CCN)O)N)N.OS(=O)(=O)O,-1.69,,,,650.28,13,17,10,144.7921,371.87
C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,3.73,0.014,3.424,,534.22,2,7,3,138.9181,119.13
C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,2.47,0.4,,9.682308038,320.16,2,4,3,94.4326,72.94
C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,1.04,,,,1055.43,13,16,19,268.5167,425.55
C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,1.05,,,,1226.5,16,19,25,307.5458,512.85
C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=CC=C4)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,1.04,,,,1039.44,12,15,19,266.8519,405.32
C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N,-1.59,,,,1068.43,13,15,19,272.1637,437.91
C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N,-2.46,,,,362.17,4,5,6,89.3165,150.28
C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)N,-3.6,0.93,,1.236884188,265.04,2,5,3,52.579,130.24
C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NC3CCNCC3,-3.1,0.78,,0.933847843,348.11,3,6,4,77.419,128.28
C1C[C@H]2[C@@H](C[C@@H]1N2)C3=CN=C(C=C3)Cl.Cl,1.95,,,,244.05,1,2,1,63.7987,24.92
C1C[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1,4.38,,,,136.13,0,0,0,41.662,0
C1C[C@H]2C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,-1.84,0.75,,0.444046616,831.32,10,11,10,212.9782,326.39
C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5,2.07,,,,383.23,0,6,6,104.45,69.64
C1C[N+]2(CCC1(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCOCC5=CC=CC=C5,5.03,0.11,,,428.26,1,2,8,127.9932,29.46
C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,3.57,,64,,484.16,1,6,9,130.5232,55.76
c1c[nH]c(=Nc2ccnc3cc(-c4cnc(N5CCCCCC5)nc4)ccc23)cn1,4.61,0.01,,,397.2,1,6,3,117.2607,82.95
c1c[nH]c2n[nH]c(=Nc3ccc4c(C5CC5)nsc4c3)c-2n1,3.58,0.012,,,308.08,2,5,2,84.1734,82.61
c1c[nH]c2n[nH]c(=Nc3ccc4c(C5CCCC5)noc4c3)c-2n1,3.9,0.013,,,320.14,2,5,2,87.7964,95.75
C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O,-0.78,,,,410.04,4,8,6,97.4977,162.92
C1C=CC=[C-]1.[CH-]1C=CC=C1.Cl[Zr+2]Cl,5.17,,,,289.92,0,0,0,55.311,0
C1C=CC=[C-]1.C1C=CC=[C-]1.[Cl-].[Cl-].[Ti+4],-1.5,,,,247.96,0,0,0,43.14,0
C1C=CC=C1,2.39,,,,66.05,0,0,0,22.897,0
C1C=CC2=CC=CC=C21,2.92,,,,116.06,0,0,0,39.18,0
C1C=CC2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,5.50593,,,,335.86,0,0,0,71.074,0
C1C=CC2C1C3CC2C=C3,3.71,,,,132.09,0,0,0,41.474,0
C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,3.8,,0,,346.91,0,3,3,74.729,37.38
C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,2.52,,,,298.93,0,3,1,65.088,37.38
C1C=CCC2C1C(=O)OC2=O,0.25,,,,152.05,0,3,0,36.453,43.37
C1C=CCC2C1CC=C2,3.79,,,,120.09,0,0,0,39.111,0
C1C=CCS1(=O)=O,-0.43,,,,118.01,0,2,0,27.7938,34.14
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,3.19,,,,226.06,2,3,0,62.4521,57.53
C1C2=C(C=C(C=C2)O)C3=CC=CC=C31,3.19,0.02488,20.56,,182.07,1,1,0,56.3488,20.23
C1C2=C(C=CC(=C2)Cl)NC1=O,2.14,,,,167.01,1,1,0,43.7857,29.1
C1C2=C(C=CC(=C2)N)C3=C1C=C(C=C3)N,1.52,,61.66,,196.1,2,2,0,63.5088,52.04
C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43,0.81,,,,249.09,1,3,0,73.3669,58.69
C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=CN31)O.Cl,1.79,,,,290.97,2,4,0,69.9865,50.08
C1C2=CC(=C(C=C2[C@@H]3[C@]1(COC4=C3C=CC(=C4O)O)O)O)O,1.41,,,,302.08,5,6,0,75.535,110.38
C1C2=CC=CC=C2C(=O)C3=C(O1)C=CC(=C3)CC(=O)O,3.54,,,,268.07,1,3,2,71.9883,63.6
C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,3.66,,,,194.07,0,1,0,59.1225,17.07
C1C2=CC=CC=C2C(=O)N3N1C(=O)C4=CC=CC=C4C3,2.32,,,,264.09,0,2,0,72.631,40.62
C1C2=CC=CC=C2C(=O)O1,0.8,,,,134.04,0,2,0,35.5615,26.3
C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],3.38,1,9.537,,211.06,0,2,1,61.3384,43.14
C1C2=CC=CC=C2C3=C1C=C(C=C3)N,3.14,,,,181.09,1,1,0,59.0964,26.02
C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,4.37,,,,277.07,1,1,1,69.3687,29.1
C1C2=CC=CC=C2C3=C1C=C(C=C3)O,3.19,,,,182.07,1,1,0,56.3488,20.23
C1C2=CC=CC=C2C3=CC=CC=C31,4.18,0.01567,12.08,,166.08,0,0,0,54.684,0
C1C2=CC=CC=C2N(C1=O)C3=C(C=CC=C3Cl)Cl,4.88,,,,277.01,0,1,1,73.754,20.31
C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,2.17,0.6,,498.5447304,252.09,1,2,0,72.6409,63.4
C1C2=CC=CC3=C2C4=C(C=CC=C41)C=C3,4.92,,,,190.08,0,0,0,64.26,0
C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO,1.85,0.1,,,341.07,1,4,2,90.2398,50.41
C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,2.5,,,,294.07,0,4,1,82.154,43.07
C1C2C(C(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,4.35132,,,,353.83,0,2,0,68.276,26.3
C1C2C(C3=C1C=C(C=C3)Cl)(N=C(S2)C4=CC=CC=C4)O,3.38,,,,301.03,1,3,1,83.4108,32.59
C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,3.66,,,,419.81,0,4,0,78.1408,52.6
C1C2C=CC1C3C2C(=O)OC3=O,0.94,,,,164.05,0,3,0,38.816,43.37
C1C2C3CC4C(C3C1C5C2O5)O4,1.93,,,,164.08,0,2,0,40.516,25.06
C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,1.95,,,,389.03,3,5,2,89.4014,118.36
C1C2CC3CC(C2)(CC1C3=O)O,1.15,,,,166.1,1,2,0,43.5118,37.3
C1C2CC3CC1CC(C2)(C3)CNC(=O)C4=C(C=CC(=C4)N5C(=O)NC(=O)C=N5)Cl,,,37,,414.15,2,5,4,108.4029,96.85
C1C2CC3CC1CC(C2)(C3)N,2.44,0.33,,6.57518582,151.14,1,1,0,45.0904,26.02
C1C2CC3CC1CC(C2)(C3)NCCOC(=O)COC4=CC=C(C=C4)Cl,4.92,,,,363.16,1,4,7,96.8117,47.56
C1C2CN(CC1CN(C2)C(=O)C3=CC=C(C=C3)N)CC4=CC=CC=C4,2.78,,,,335.2,1,3,3,100.0739,49.57
C1C2N1C(=O)N=C2N,-1.02,,,,111.04,1,2,0,27.5124,58.46
C1CC(=C(N2[C@H]1[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl.O,0.88,,,,367.09,3,4,4,89.2977,144.23
C1CC(=CC2=CC=CS2)C(=O)C(=CC3=CC=CS3)C1,4.56,,,,286.05,0,3,2,83.45,17.07
C1CC(=N)N(C1)CC2=C(C(=O)NC(=O)N2)Cl,1.11,0.92,,,242.06,3,3,2,60.0641,92.81
C1CC(=O)CC(=O)C1,0.16,,,,112.05,0,2,0,28.482,34.14
C1CC(=O)N([C@@H]1C(=O)N(C2=CC(=CN=C2)F)[C@@H](C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N,3.01,0.06,,8.247274814,582.14,1,6,7,141.4457,119.29
C1CC(=O)N(C1)CC(=O)N,-1.54,1,,0.447901393,142.07,1,2,2,35.0084,63.4
C1CC(=O)N(C1)CCO,-0.7,1,0.1559,,129.08,1,2,2,32.8998,40.54
C1CC(=O)N(C1=O)Cl,-0.23,,,,132.99,0,2,0,26.94,37.38
C1CC(=O)N(C1=O)CO,-0.6,,,,129.04,1,3,1,28.1728,57.61
C1CC(=O)N[C@@H]1C(=O)N[C@H]2C[C@@H]2C3=CC=CC=C3,1.4,,,,244.12,2,2,3,66.8954,58.2
C1CC(=O)N[C@@H]1C(=O)N2CSC[C@H]2C(=O)O,-0.4,0.96,,,244.05,2,4,2,56.7595,86.71
C1CC(=O)N[C@@H]1C(=O)O,-2.08,,,,129.04,2,2,1,28.8005,66.4
C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,-0.16,0.72,,1.081749497,273.07,2,5,1,67.5261,109.57
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,0.33,0.4,,2.49947837,258.06,1,4,1,63.1137,83.55
C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.01,0.7,,2.886983706,259.1,2,4,1,66.8996,92.5
