SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)N)O)O,-2.45,,,,193.06,5,6,1,38.0946,133.24
[C@@H]1([C@H]2[C@@H](C(O[C@@H]1C(=O)O2)O)O)O,-2.32,,,,176.03,3,6,0,32.7734,96.22
[C@H]1([C@@H]2[C@@H]([C@H](C(=O)O2)O)O[C@H]1O)O,-2.33,,,,176.03,3,6,0,32.7734,96.22
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],5.12,,,,297.95,0,6,0,38.7936,221.32
[C-]#N.[C-]#N.[K+].[Au+],4.43,,,,287.94,0,2,0,9.936,47.58
[Ca+2].[Br-].[Br-],3.21,,,,197.8,0,0,0,5.754,0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],6.52,,,,186.01,0,0,0,44.07,0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Ni+2],6.52,,,,188.01,0,0,0,44.07,0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.Cl[V]Cl,4.72,,,,249.96,0,0,0,55.776,0
[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC\4(C(C5C6(C(C(C(=N6)/C(=C\7/C(C(C(=N7)/C=C\8/C(C(C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3],2.22,,,,1343.59,9,19,26,338.0152,464.92
[Cl-].[Cl-].[Ba+2],-0.19,,,,207.84,0,0,0,5.754,0
[Cl-].[Cl-].[Ca+2],-8.28,,,,109.9,0,0,0,5.754,0
[Cl-].[Cl-].[Cd+2],-8.17,,,,183.84,0,0,0,0,0
[H+].[B-](F)(F)(F)F,6.03,,,,88.01,0,0,0,11.298,0
[H+].[H+].CCOC1=CC=C(C=C1)C[C@@H](CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Gd+3],-4.3,0.9,,0.787107236,682.11,0,14,20,116.815,219.6
[I-].[I-].[Hg+2],-7.95,,,,455.78,0,0,0,0,0
[K+].[I-],-3.81,,,,165.87,0,0,0,0,0
[Li+].[Li+].[Li+].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)[O-])C(C(=O)NCCC(=O)NCCS)O.O.O,-1.28,,,,821.16,7,21,18,164.0573,418.05
[Li+].[Li+].[O-]S(=O)(=O)[O-],-2.02,,,,109.98,0,4,0,10.4746,80.26
[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.7573,,,,286.93,0,4,2,33.3086,82.38
[Li+].C(F)(F)(F)S(=O)(=O)[O-],0.433456,,,,155.97,0,3,0,15.7522,57.2
[Mg+2].[Cl-].[Cl-],-0.57,0.7,,,93.92,0,0,0,5.754,0
[N-]=[N+]=N[C@H]1[C@@H](CF)O[C@@H](n2cnc3c(N)nc(OC4CCCC4)nc32)[C@@H]1O,1.64,0.19,,,378.16,2,9,5,91.4452,157.07
[N+](=O)([O-])[O-].[K+],2.78,,,,100.95,0,3,0,10.3614,66.2
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],2.78,,,,261.88,0,6,0,26.4768,132.4
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ca+2],2.78,,,,163.94,0,6,0,26.4768,132.4
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cr+3],-2.6,0.05,,,237.9,0,9,0,31.0842,198.6
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Mg+2],2.78,,,,256.02,0,6,0,48.1596,321.4
[N+](=O)([O-])[O-].[Na+],2.78,,,,84.98,0,3,0,10.3614,66.2
[N+](=O)([O-])[O-].[Tl+],2.78,,,,266.96,0,3,0,16.1154,66.2
[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Cd],0.06,,,,239.89,2,4,0,17.5618,126.74
[Na+].[Br-],-3.84,,,,101.91,0,0,0,0,0
[Na+].[I-],1.28,,,,149.89,0,0,0,0,0
[NH2-].[NH2-].Cl[Pt+2]Cl,1.48,,,,296.94,0,0,0,22.2748,67
[NH4+].[N+](=O)([O-])[O-],2.78,,,,80.02,1,3,0,16.3462,102.7
[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-],-2.36,,,,227.97,2,8,3,33.534,205.86
[NH4+].[NH4+].[O-]S(=O)(=S)[O-],-0.91,,,,148,2,4,0,29.0318,136.19
[NH4+].[O-]Cl(=O)(=O)=O,-0.49,,,,116.98,1,4,0,5.9848,128.74
[NH4+].NS(=O)(=O)[O-],-1.59,,,,114.01,2,3,0,19.8694,119.72
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],-0.84,,,,293.77,0,7,2,3.831,123.63
[O-][Se](=O)[O-].[Na+].[Na+],-0.52,,,,173.88,0,3,0,6.4405,63.19
[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],-2.7,0.67,,,259.86,0,8,4,32.313,144.84
[O-]Br(=O)=O.[Na+],2.6,,,,149.89,0,3,0,0,69.18
[O-]Cl(=O)(=O)=O.[K+],-0.49,,,,137.91,0,4,0,0,92.24
[O-]Cl(=O)=O.[K+],2.38,,,,121.92,0,3,0,0,69.18
[O-]Cl(=O)=O.[Na+],2.38,,,,105.94,0,3,0,0,69.18
[O-]Cl.[Na+],0.03,,,,73.95,0,1,0,5.853,23.06
[O-]Cl=O.[Na+],-0.259,,75.4,,89.95,0,2,0,0,46.12
[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],-2.85,,,,265.87,0,7,2,16.298,135.61
[O-]S(=O)(=O)[O-].[Cr+2],-0.84,0.05,,,147.89,0,4,0,10.4746,80.26
[O-]S(=O)(=O)[O-].[Fe+2],-2.02,,,,151.89,0,4,0,10.4746,80.26
[O-]S(=O)(=O)[O-].[Na+].[Na+],-2.02,,,,141.93,0,4,0,10.4746,80.26
[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],-0.84,0.2,,,257.85,0,8,0,26.7032,160.52
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],-2.36,,,,269.83,0,8,3,21.5644,132.86
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[Na+].[Na+],-2.36,,,,237.88,0,8,3,21.5644,132.86
[O-]S(=O)(=O)SSS(=O)(=O)[O-].[K+].[K+],-0.49,,,,301.79,0,8,3,34.5764,114.4
