SMILES_rdkit_final,logP,Fup,Clint.invitro.[ml/min/10^6cell],Clint.invitro.[ml/min/kg],Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],0.55,0.13,,,,397.06,2,2,0,49.959,122.2,1.5551
C1CC[C@H]([C@@H](C1)C(=O)NC2(CC2)C#N)C(=O)N3CCN(CC3)C4=NC5=C(S4)C=NC=C5,,,4.9,12.46707,,438.18,1,7,4,117.3767,102.22,2.31868
C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,4.56,0.01,,,,492.26,0,6,5,138.252,56.75,4.2558
C1CC[C@H]2CN(C[C@H]2C1)C(=O)C[C@H](CC3=CC=CC=C3)C(=O)[O-].C1CC[C@H]2CN(C[C@H]2C1)C(=O)C[C@H](CC3=CC=CC=C3)C(=O)[O-].O.O.[Ca+2],3.13,,,,,704.33,0,6,10,183.5576,183.88,1.2376
C1CC=CC(=O)C1,0.61,,,,,96.06,0,1,0,27.998,17.07,1.2956
C1CC=CC1,2.63,,,,,68.06,0,0,0,22.991,0,1.7265
C1CC=COC1,0.69,,,,,84.06,0,1,0,24.326,9.23,1.3105
C1CC1(C(=O)NC2=C(C=C(C=C2)Cl)Cl)C(=O)O,2.68,0.984,0.3364,0.85590252,,273,2,2,3,64.3945,66.4,2.7967
C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl,2.12,,,,,343.03,2,4,5,85.3355,53.84,3.33929
C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl,3.08,,,,,311.06,1,4,5,77.9458,50.94,2.6767
C1CC1(C2=CC(=C(C=C2)C3=CC(=C(C=C3)Cl)Cl)F)C(=O)O,4.76,,38.9,98.97327,,324.01,1,1,3,80.4038,37.3,4.9157
C1CC1[C@@]2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C#CC4=CC=CC=N4,3.13,1,0,,,323.08,2,2,1,89.1234,54.02,3.5271
C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,3.87,0.0254,8.51,21.651993,,315.03,1,2,0,69.7887,38.33,4.0731
C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,1.96,0.18,,,2.205170868,434.18,1,4,4,116.7772,86.37,2.3474
C1CC1C(=O)NC2=CC(=C(C=C2)Cl)Cl,3.73,,,,,229.01,1,1,2,57.8157,29.1,3.3419
C1CC1C(C2CC2)NC3=NCCO3,0.65,0.9,,,,180.13,1,3,3,50.6257,33.62,1.1508
C1CC1C=O,0.6,,,,,70.04,0,1,1,18.788,17.07,0.5953
C1CC1C2=C(C=NN2C3=CC=CC4=C3C=CC=N4)C(=O)N=C(N)N,1.85,0.34,,,,320.14,2,4,3,90.9803,112.18,1.7115
C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)NC5=C(C=C(C=C5)C(=O)O)Cl,4.44,0.005,2.221,5.6508903,,556,2,6,7,136.305,97.11,6.1428
C1CC1C2=CC=CC=C2OCC3=NCCN3,1.96,,,,,216.13,1,3,4,64.2167,33.62,1.9445
C1CC1CN[C@@H](C2=CC(=C(C=C2)F)NC(=O)C3=CC(=NN3C4=CC=CC(=C4)CN)C(F)(F)F)C5=CC=CC(=C5)C#N,5.58,0.01,,,,562.21,3,6,9,144.5373,108.76,5.70188
C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,3.73,,,,,324.1,0,2,3,93.477,32.67,3.934
C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1.92,0.79,17.91,45.568413,1874.208861,341.16,2,5,2,89.7976,70,1.5254
C1CC1CN2CC[C@]34CC(=O)CC[C@]3([C@H]2CC5=C4C(=C(C=C5)C(=O)N)O)O,0.29,0.72,,,8.50672253,370.19,3,5,3,98.5165,103.86,1.2534
C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,3.47,0.01,,,89.21644686,402.03,1,4,7,93.5032,60.45,5.0309
C1CC1COC2=C(C=CC(=C2)C3=CC=CC4=C3OC(=CC4=O)N5CCOCC5)NC(=O)CN6CCOCC6,,,95.5,242.98065,,519.24,1,8,8,145.0597,93.48,3.3561
C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,4.06,,13.83,35.187669,,477.98,2,3,6,99.9519,50.36,5.0378
C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4C[C@H]5[C@H](C4)OCCN5)F)C(=O)O,1.19,0.75,,,,398.14,2,7,3,101.855,107.59,1.22238
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)Cl)F)C(=O)O,2.99,,,,,281.03,1,3,2,68.4063,59.3,2.8271
C1CC1N2C3=C(C=NC=C3)N(C2=O)CC4=NC5=CC=CC=C5N4CCCO,2.22,,15.75,40.072725,,363.17,1,7,6,102.8018,77.87,2.3133
C1CC1N2CC3(CCN(CC3)S(=O)(=O)C4=CC=C(C=C4)C5=CC6=C(C=CC=N6)C=C5)OCC2=O,,,9.12,23.204016,,477.17,0,5,4,128.5898,79.81,3.4463
C1CC1N2CCC(CC2)NC(=O)C3=NC4=C(N3CC5=NOC(=C5)C6=CC=C(S6)Cl)C=CC(=C4)C(=O)[O-].[Na+],3.76,,,,,547.11,1,9,7,133.0747,116.32,0.1786
C1CC1NC(=O)/C=C/C2=CC(=CC=C2)F,2.35,,,,,205.09,1,1,3,56.5987,29.1,2.1175
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@H]4C[C@@H](C=C4)CO,1.51,0.5,,,24.26948052,286.15,3,7,4,79.7499,101.88,1.0923
C1CC1NC2=NC(=NC(=N2)N)N,0.8,0.9352,0,,,166.1,3,6,2,45.2965,102.74,-0.3897
C1CC2=C(C[C@@H]1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O,3.12,0.032,3.81,9.693783,,416.12,2,4,6,106.7253,88.4,3.0909
C1CC2=C(C=C3C=CC4=C5C3=C2C=CC5=CC=C4)C(=O)C1,4.95,,,,,270.1,0,1,0,87.4145,17.07,5.103
C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,3.86,,,,,310.12,1,2,0,91.2227,24.92,4.0189
C1CC2=C(C=CC(=C2C1)Cl)O,2.77,,,,,168.03,1,1,0,45.1418,20.23,2.5343
C1CC2=C(C=CC=C2O)C(=O)C1,2.05,,,,,162.07,1,2,0,45.3753,37.3,1.9112
C1CC2=C(C1)C=C(C=C2)NC(C3=CC=CC=C3)C(=O)NC(=O)N,,,13.8,35.11134,,309.15,3,3,4,88.9988,84.22,2.5234
C1CC2=C(C1)C=C(C=C2)O,2.99,,,,,134.07,1,1,0,40.1318,20.23,1.8809
C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],3.85,,,,,199.06,0,2,1,58.0104,43.14,2.8466
C1CC2=CC=CC=C2C(=O)C1,2.41,,,,,146.07,0,1,0,43.7105,17.07,2.2056
C1CC2=CC=CC=C2C(=O)C3=CC=CC=C31,3.44,,,,,208.09,0,1,0,63.7245,17.07,3.0162
C1CC2=CC=CC=C2C(C3=CC=CC=C31)C(=O)N,3.26,,,,,237.12,1,1,1,71.3294,43.09,2.4024
C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O,3.37,,,,,337.2,2,2,8,100.8585,49.33,4.4993
C1CC2=CC=CC=C2C1,3.18,,,,,118.08,0,0,0,38.467,0,2.1753
C1CC2=CC=CC=C2NC3=CC=CC=C31,3.61,,,,,195.1,1,1,0,63.5747,12.03,3.5288
C1CC2=CC=CC=C2O[C@H]1CNCCCCN3C(=O)C4=CC=CC=C4S3(=O)=O,1.69,,,,,400.15,1,5,7,105.947,75.71,2.5947
C1CC2=CC=CC3=C2C1=CC=C3,3.92,0.04533,4.846,12.3296778,,154.08,0,0,0,51.356,0,2.9384
C1CC2=CN=CN2[C@H]1C3=C(C=C(C=C3)C#N)F,2.11,0.6,,,,227.09,0,3,1,59.802,41.61,2.42948
C1CC2=NC1=C(C3=CC=C(N3)C(=C4C=CC(=N4)C(=C5C=CC(=C2C6=CC(=CC=C6)O)N5)C7=CC(=CC=C7)O)C8=CC(=CC=C8)O)C9=CC(=CC=C9)O,3.22,0.14,,,0.172021779,680.24,6,6,4,205.7406,138.28,9.7608
C1CC2C(C(C1O2)C(=O)O)C(=O)O,1.91,0.867,0,,,186.05,2,3,2,40.1466,83.83,-0.0508
C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,5.79,,,,,320.18,2,2,2,94.0386,40.46,4.84
C1CC2C(C1)C3CC2CC3=O,2.5,,,,,150.1,0,1,0,42.052,17.07,2.0116
C1CC2C(O2)CC1C3CO3,0.44,,136,346.0248,,140.08,0,2,1,35.742,25.06,0.9527
C1CC2C(O2)CC1COC(=O)C3CCC4C(C3)O4,1.8,,,,,252.14,0,4,3,62.963,51.36,1.6646
C1CC2C[C@H]1[C@H]3[C@@H]2CN(C3)NC(=O)C4=CC(=C(C=C4)Cl)S(=O)(=O)N,0.53,,,,,369.09,2,4,3,89.6754,92.5,1.6101
C1CC2C3CC(C2C1CO)CC3CO,1.51,,,,,196.15,2,2,2,53.5796,40.46,1.2694
C1CC2CC(CC1N2C3=NC=CC=N3)NCC(=O)N4CC(C[C@H]4C#N)(F)F,1.16,0.702,,,,376.18,1,6,4,93.0237,85.15,1.32578
C1CC2CN(CCN2C1)CCC(=O)N3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,3.54,,,,,413.13,0,4,3,114.815,26.79,4.6394
C1CC2CN(CCN2C1)CCCC(=O)C3=CC=C(C=C3)F,2.8,,,,,290.18,0,3,5,80.9995,23.55,2.5686
C1CCC(=NO)C1,0.93,,,,,99.07,1,2,0,27.6895,32.59,1.3906
C1CCC(=NO)CC1,0.84,,,,,113.08,1,2,0,32.3065,32.59,1.7807
C1CCC(=O)C(C1)Cl,1.67,,,,,132.03,0,1,0,33.116,17.07,1.7369
C1CCC(=O)C1,0.38,,,,,84.06,0,1,0,23.475,17.07,1.1295
C1CCC(=O)CC1,0.81,,,,,98.07,0,1,0,28.092,17.07,1.5196
C1CCC(=O)N(CC1)SSN2CCCCCC2=O,1.7,,,,,288.1,0,4,3,75.544,40.62,3.003
C1CCC(=O)NCC1,-1.19,0.761,0,,,113.08,1,1,0,31.4777,29.1,0.6766
C1CCC(=O)OCC1,0.31,,,,,114.07,0,2,0,29.427,26.3,1.1036
C1CCC(C(C1)C(=O)OCC2CO2)C(=O)OCC3CO3,1.06,,,,,284.13,0,6,6,66.846,77.66,0.6768
C1CCC(C(C1)C2=CC=CC=C2)O,2.86,,,,,176.12,1,1,1,53.6578,20.23,2.7051
C1CCC(C1)(C(=O)NO)N(CCC(=O)O)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,3.83,,,,,466.12,3,6,9,110.1888,133.24,2.9016
C1CCC(C1)(C2=CC3=C(C=C2)[C@@H]([C@H](CO3)CC4=CC=C(C=C4)C5=CC=CC=C5)O)C(=O)O,5.81,,,,,428.2,2,3,5,123.7506,66.76,5.5347
C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,2.48,0.03,,,61.24530618,306.16,1,5,4,86.3347,83.18,3.46638
C1CCC(C1)C2=C(C=CC(=C2)Cl)O,3.83,,,,,196.07,1,1,1,54.3258,20.23,3.7032
C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,1.27,,,,,379.04,3,5,3,87.1324,118.36,1.5976
C1CCC(C1)CCCCCCCCCCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)NC(=O)CCCCCCCCCCCCC4CCCC4,7.31,,,,,776.55,2,4,30,230.3192,92.34,14.1392
C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3,4.82,,,,,328.13,1,1,4,94.7117,32.34,5.3167
C1CCC(C1)N2C3=C(C=C(C2=N)S(=O)(=O)C4=CC=C(C=C4)Cl)C(=O)N5C=CC=CC5=N3,,,35.48,90.271764,,454.09,1,7,3,117.2215,97.29,3.72997
C1CCC(C1)O,0.89,,,,,86.07,1,1,0,24.4748,20.23,0.9213
C1CCC(C1)S,2.1,,,,,102.05,1,1,0,31.242,0,1.8588
c1ccc(CC[C@@H]2CN(Cc3nc4ccccc4[nH]3)CCO2)cc1,3.4,0.061,,,,321.18,1,3,5,95.8737,41.15,3.3965
C1CCC(CC1)(C#N)N,0.08,,,,,124.1,1,2,0,35.6164,49.81,1.17158
C1CCC(CC1)(C#N)N=NC2(CCCCC2)C#N,3.53,,,,,244.17,0,4,2,67.714,72.3,3.89156
C1CCC(CC1)(C#N)N2CCCCC2,2.34,,,,,192.16,0,2,1,56.853,27.03,2.69878
C1CCC(CC1)(C#N)O,0.04,,,,,125.08,1,2,0,33.6478,44.02,1.20518
C1CCC(CC1)(C(=O)C2=CC=CC=C2)O,2.81,,,,,204.12,1,2,2,58.8073,37.3,2.5645
C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4.08,,,,,268.15,2,2,2,80.0786,40.46,4.348
C1CCC(CC1)(C2=CC=CC=C2)N.Cl,2.54,,,,,211.11,1,1,1,62.6404,26.02,3.2265
C1CCC(CC1)(C2=CC=CC=C2)N3CCCC3,4.83,,,,,229.18,0,1,2,72.012,3.24,3.9418
C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,4.69,0.35,,,,243.2,0,1,2,76.629,3.24,4.3319
C1CCC(CC1)(C2=CC=CS2)N3CCCCC3,4.82,,,,,249.16,0,2,2,74.506,3.24,4.3934
C1CCC(CC1)(CC(=O)O)CN,-1.1,0.97,,,0.662981552,171.13,2,2,3,46.8252,63.32,1.3703
C1CCC(CC1)(CC2=NC(=O)ON2)CN.Cl,2.33,,,,,247.11,2,4,3,62.6481,84.91,1.2364
C1CCC(CC1)(CN)C2=CC=CS2,2.54,,1.069,2.7198567,,195.11,1,2,2,58.1364,26.02,2.9087
C1CCC(CC1)[C@@H](/C=C/[C@H]2[C@@H](C[C@H]3[C@@H]2C/C(=C/C4=CC(=CC=C4)C(=O)O)/O3)O)O.[Na+],3.81,,,,,421.2,3,4,5,110.1939,86.99,1.013
C1CCC(CC1)[C@H](C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NCC(=O)O,0.98,0.93,,,0.781071265,429.24,5,5,9,115.4243,148.61,0.81087
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCCN3C(=O)C2,1.67,,,,,326.2,0,2,1,92.372,40.62,2.925
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,1.74,,17.38,44.219934,,312.18,0,2,1,87.755,40.62,2.5349
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,7.78,,,,,393.29,3,3,6,111.3103,86.63,5.0072
C1CCC(CC1)C[C@H](C(=O)N2CCCC[C@H]2C(=O)NCCCN=C(N)N)NCC(=O)O,-0.1,0.76,,,,438.3,5,5,11,118.274,163.14,0.1604
C1CCC(CC1)C2(CCN(CC2)C(=O)[C@@H](CC3=CC=C(C=C3)Cl)NC(=O)[C@H]4CC5=CC=CC=C5CN4)CN6C=NC=N6,4.56,,27.54,70.070022,,588.3,2,6,8,162.7044,92.15,4.5626
C1CCC(CC1)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,4.12,,,,,266.09,1,5,3,67.2416,106.51,3.2563
C1CCC(CC1)C2=C(C=CC(=C2)C3(CCCCC3)C4=CC(=C(C=C4)O)C5CCCCC5)O,7.82,,,,,432.3,2,2,4,131.7306,40.46,8.4434
C1CCC(CC1)C2CCC(=O)CC2,3.67,,,,,180.15,0,1,1,53.54,17.07,3.326
C1CCC(CC1)C2CCC(CC2)O,3.76,,,,,182.17,1,1,1,54.5398,20.23,3.1178
C1CCC(CC1)C2CCCCC2,5.65,,,,,166.17,0,0,1,53.15,0,4.147
C1CCC(CC1)C2CCCCC2=O,3.6,,,,,180.15,0,1,1,53.54,17.07,3.326
C1CCC(CC1)CCC[C@H](CC(=O)NO)C2=NC(=NO2)C(=O)N,0.58,,14.91,37.935513,,324.18,3,6,8,80.5291,131.34,1.8982
C1CCC(CC1)N(C2CCCCC2)SC3=NC4=CC=CC=C4S3,4.8,,,,,346.15,0,4,4,101.062,16.13,6.2708
C1CCC(CC1)N.C1CCC(CC1)N.C([C@H](COP(=O)(O)O)O)O,-2.64,,,,,370.22,6,6,4,93.2095,159.26,1.0045
C1CCC(CC1)N=C=NC2CCCCC2,3.99,,,,,206.18,0,2,2,63.609,24.72,3.8257
C1CCC(CC1)N=C=O,1.3,,,,,125.08,0,2,1,34.9945,29.43,1.6549
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,3.92,,,,,369.22,1,6,7,101.7647,81.93,3.4647
C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O,2.2332,,,,,234.14,1,3,1,65.4697,54.86,1.5305
C1CCC(CC1)N2CC3=CC(=C(C=C3C2=O)S(=O)(=O)N)Cl,2.03,,,,,328.06,1,3,2,79.5717,80.47,2.2759
C1CCC(CC1)N2CCCC2=O,2.96,,,,,167.13,0,1,1,47.82,20.31,1.9415
C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl,4.17,0.04,,,15.49030172,648.15,2,9,7,170.869,101.9,6.5814
C1CCC(CC1)NC(=O)CN2CCNCC2,0.84,,,,,225.18,2,3,3,64.3254,44.37,0.3405
C1CCC(CC1)NC(=O)N(CCCl)N=O,2.83,,,,,233.09,1,3,4,58.6257,61.77,2.2509
C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,4.01,,,,,264.08,1,4,3,75.4857,24.92,4.2257
C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)O,2.54453,,,,,248.1,1,3,3,65.6898,63.6,2.8743
C1CCC(CC1)OC(=O)CC(C(=O)OC2CCCCC2)S(=O)(=O)[O-].[Na+],2.63,,,,,384.12,0,7,6,84.0322,109.8,-0.9539
C1CCC(CC1)SN2C(=O)C3=CC=CC=C3C2=O,3.66,,,,,261.08,0,3,2,71.406,37.38,3.2635
c1ccc(CCc2nn[nH]n2)cc1,0.98,0.0112,,,,174.09,1,3,3,48.0277,54.46,0.9849
c1ccc(N=c2[nH]c3c(s2)CCc2n[nH]cc2-3)nc1,2.77,0.008,,,,269.07,2,4,1,73.1194,69.72,2.1923
c1ccc(N=c2[nH]c3c(s2)CCCc2n[nH]cc2-3)nc1,3.16,0.006,,,,283.09,2,4,1,77.7364,69.72,2.5824
c1ccc(OC[C@@H]2CN(Cc3ccc4[nH]ccc4c3)CCO2)cc1,3.45,0.035,,,,322.17,1,3,5,95.2527,37.49,3.4477
c1ccc(OC[C@@H]2CN(Cc3cn4ccccc4n3)CCO2)cc1,2.61,0.057,,,,323.16,0,5,5,92.146,39,2.6141
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.63,0.05,7.66,19.489338,,385.25,0,6,6,106.774,69.64,2.0882
C1CCC2(C1)CC(=O)NC(=O)C2,1.02,,,,,167.09,1,2,0,43.2847,46.17,0.9834
C1CCC2(CC1)N(CCO2)C(=O)C(Cl)Cl,3.4,,,,,251.05,0,2,1,58.975,29.54,2.3093
C1CCC2(CC1)OCC(O2)CN=C(N)N.C1CCC2(CC1)OCC(O2)CN=C(N)N.OS(=O)(=O)O,-1.37,,,,,524.26,6,8,4,128.813,240.32,0.0184
C1CCC2=C(C1)C(=C3CCCC3=N2)N.O.Cl,1.9,,,,,242.12,1,2,0,68.1782,70.41,1.6284
C1CCC2=CC=CC=C2C1,3.49,,,,,132.09,0,0,0,43.084,0,2.5654
C1CCC2=NC=CN=C2C1,1.33,,,,,134.08,0,2,0,38.674,25.78,1.3554
C1CCC2=NC3=C(CN2CC1)C(=CC(=C3)Cl)Cl.Cl,3.55,,,,,304.03,0,2,0,79.683,15.6,4.8348
C1CCC2=NN=NN2CC1,0.14,,,,,138.09,0,4,0,35.372,43.6,0.3995
C1CCC2C(C1)C(=O)OC2=O,0.99,,,,,154.06,0,3,0,36.547,43.37,0.8762
C1CCC2C(C1)O2,1.2609,,,,,98.07,0,1,0,27.129,12.53,1.3278
c1ccc2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncc2c1,2.5,0.2485,,,,308.16,1,5,1,90.6477,49.75,2.4973
C1CCCC(CC1)CC(=O)NC2=CC=CC3=C2C=CN(C3=O)[C@H]4CCNC4,,,3.4,8.65062,,367.23,2,4,4,109.1704,63.13,3.8349
C1CCCC(CC1)NC(P(=O)(O)O)P(=O)(O)O,-0.37,0.9,,,,287.07,5,3,4,62.5019,127.09,0.9378
C1CCCCCC(=O)CCCC=CCCCC1,6,,,,,236.21,0,1,0,74.168,17.07,5.1966
C1CCCCCC(=O)CCCCC1,4.1,,,,,182.17,0,1,0,55.794,17.07,3.8602
C1CCCCCC(=O)NCCCCC1,2.92,,,,,197.18,1,1,0,59.1797,29.1,3.0172
C1CCCCCC(=O)OCCOC(=O)CCCC1,3.44,,,,,256.17,0,4,0,68.088,52.6,2.9874
C1CCCCCC(=O)OCCOC(=O)CCCCC1,3.72,,,,,270.18,0,4,0,72.705,52.6,3.3775
C1CCCCCC(CCCCC1)O,4.53,,,,,184.18,1,1,0,56.7938,20.23,3.652
C1CCCCCCCC(=O)CCCCCC1,5.97,,,,,224.21,0,1,0,69.645,17.07,5.0305
C1CCCCCCCC(=O)OCCCCCCC1,6,,,,,254.22,0,2,0,75.597,26.3,5.0046
C1CCCCCCCOC(=O)CCCCCC1,5.78,,,,,240.21,0,2,0,70.98,26.3,4.6145
C1CCCCCOCCCCOC(=O)CCCC1,3.24,,,,,256.2,0,3,0,72.565,35.53,3.8509
C1CCCN(CC1)CC2=CC=C(S2)C3=NC(=NO3)CCN4C(=O)C5=CC=CC=C5C4=O.C(=C/C(=O)O)\C(=O)O,-0.16,,,,,552.17,2,9,8,141.2806,154.14,3.7246
C1CCCN(CC1)N=O,0.92,,,,,128.09,0,2,1,35.836,32.67,1.5438
C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O.OS(=O)(=O)O,1.18,,,,,394.12,6,6,3,88.5566,216.84,-0.7797
C1CCCN(CCC1)N=O,1.48,,,,,142.11,0,2,1,40.453,32.67,1.9339
C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3,3.91,0.058,,,,362.09,2,5,5,92.7375,109.93,2.4247
C1CCN(C1)CC#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O,2.96,,,,,291.16,1,2,3,89.3328,23.47,3.0217
C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,3.17,,,,,361.11,0,3,4,102.046,21.06,4.7556
C1CCN(C1)CCCl,1.29,,,,,133.07,0,1,2,36.394,3.24,1.321
C1CCN(C1)CCN2C3=CC=CC=C3SC4=CC=CC=C42,3.57,,,,,296.13,0,3,3,89.687,6.48,4.3851
C1CCN(C1)CCOC2=C(C=CC(=C2)C3=CC=CC4=C3OC(=CC4=O)N5CCOCC5)NC(=O)CN6CCOCC6,,,5.5,13.99365,,562.28,1,9,9,158.0097,96.72,3.0419
C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,4.58,0.012,,,14.75336378,472.25,1,7,4,136.8137,68.74,4.9648
C1CCN(C1)CCOC2=CC=C(C=C2)[C@H]3[C@H](CCC4=C3C=CC(=C4)O)C5=CC=CC=C5,5.97,0.01,,,59.0459298,413.24,1,3,6,125.0648,32.7,5.7287
C1CCN(C1)N=O,-0.19,,,,,100.06,0,2,1,26.602,32.67,0.7636
C1CCN(C1)NC(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl,1.16,,,,,303.04,2,4,3,71.1122,78.51,1.3387
C1CCN(CC1)[C@H]2[C@H](C[C@@H]([C@@H]2CC/C=C\CCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O.Cl,4.25,,,,,513.26,2,4,11,146.2726,70,6.0971
C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,2.72,,,,,285.14,0,3,3,81.17,38.77,2.9972
C1CCN(CC1)C(=O)[C@H]2CCC(=O)N2,0.01,,,,,196.12,1,2,1,51.5957,49.41,0.2775
C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,2.85,0.02,,,,512.2,1,6,2,138.2817,91.95,3.4168
C1CCN(CC1)C(=S)SSC(=S)N2CCCCC2,3.02,,,,,320.05,0,4,0,91.226,6.48,3.9094
C1CCN(CC1)C(=S)SSSSSSC(=S)N2CCCCC2,4.48,,,,,447.94,0,8,5,121.59,6.48,6.5022
C1CCN(CC1)C[C@H](CO/N=C(/C2=C[N+](=CC=C2)[O-])\Cl)O,1.93,,,,,313.12,1,5,6,80.0418,72,1.0838
C1CCN(CC1)C=O,-0.32,,,,,113.08,0,1,1,31.488,20.31,0.6287
C1CCN(CC1)C2(CCN(CC2)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N,3.91,0.061,,,,430.27,1,4,7,126.9174,73.36,3.69218
C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N.Cl.Cl,2.02,,,,,447.19,1,4,7,117.4839,66.64,3.438
C1CCN(CC1)C2(CCN(CC2)CCCN3C4=CC=CC=C4CCC5=C3C=C(C=C5)Cl)C(=O)N,4.56,,,,,480.27,1,4,6,139.9484,52.81,4.7726
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,1.24,1,,,,209.13,3,6,1,55.7426,91.16,0.17237
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,1.89,0.009,,,,504.32,4,12,12,140.0252,145.44,-0.0176
C1CCN(CC1)CC(C2=NOC(=C2)C3=CC=CC=C3)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2.88,,,,,464.18,5,8,9,114.281,181.63,1.6124
C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3.Cl,3.69,,,,,433.18,2,5,7,119.2854,79.9,4.7601
C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,5.41,,,,,613.21,5,9,12,162.6149,186.59,4.5868
C1CCN(CC1)CC2=CC(=NC=C2)OC/C=C\CNC(=O)CS(=O)CC3=CC=CO3,2.43,,,,,431.19,1,6,11,116.4311,84.67,2.6606
