SMILES_rdkit_final,logP,Fup,Clint.invitro.[ml/min/10^6cell],Clint.invitro.[ml/min/kg],Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C2CCC2)cc1N1CC2CC2C1,5.76,0.003,,,,524.22,1,5,7,143.9023,73.96,6.4082
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C2CCCC2)cc1N1CC2CC2C1,6.15,0.002,,,,538.23,1,5,7,148.5193,73.96,6.7983
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2CC2CC2)cc1N1CC2CC2C1,5.44,0.005,,,,524.22,1,5,8,143.7383,73.96,6.0932
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cnn(C)c2C(C)C)cc1OCC(F)(F)F,6.22,0.009,,,,486.15,0,4,7,118.4265,47.36,6.2207
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CC2CC2C1,5.01,0.056,,,,513.21,1,6,7,139.1943,86.85,5.6591
[2H]C([2H])([2H])OC1=C(C=C2[C@H]3CC(=O)[C@@H](CN3CCC2=C1)CC(C)C)OC([2H])([2H])[2H],3.4,0.165,,,,323.24,0,4,6,90.133,38.77,3.2381
[2H]C([2H])([2H])Oc1ccc(-c2c(-c3ccnc(N=C(C)O)c3)[nH]c3cccnc23)nc1,3.65,0.24,,,,362.16,2,5,5,104.5055,96.28,4.3034
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1,4.62,0.086,,,,539.19,2,6,8,137.4071,106.68,4.61938
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,5.4,0.008,,,,548.16,2,5,8,137.7021,82.89,5.4011
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,5.87,0.003,,,,529.17,2,4,8,139.9491,70,5.867
[2H]C([2H])(Oc1cc(F)cc(F)c1C([2H])([2H])C([2H])([2H])[2H])C(=O)N(Cc1n[nH]c(=N)o1)Cc1ccc(S(N)(=O)=O)cc1F,1.89,0.06,,,,506.16,3,7,10,109.9666,155.37,1.71707
[2H]C1(C([N+]2=CC=CC=C2C3=CC=CC=[N+]31)([2H])[2H])[2H].[Br-].[Br-],-2.29737,,,,,345.96,0,0,0,52.268,7.76,-5.0498
[3H]C([3H])([3H])O/N=C1/C=C(C#Cc2cccc(C)n2)CCC1,2.85,0.044,,,,246.15,0,3,2,72.23,34.48,2.85422
[Al](Cl)(Cl)Cl,1.65,0.02,,,2.585012326,131.89,0,0,0,23.313,0,1.6877
[B-](F)(F)(F)F.[K+],6.03,,,,,125.97,0,0,0,10.186,0,-1.696
[B-](F)(F)(F)F.[Na+],6.03,,,,,109.99,0,0,0,10.186,0,-1.696
[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-],-2.02,,,,,177.01,0,4,0,30.6838,206.26,-5.0176
[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O,-2.49,,,,,210.04,6,6,5,39.2988,155.52,-3.4008
[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].O.O.O.[K+].[K+].[Sb+3].[Sb+3],-0.86,,,,,665.74,0,12,6,57.5294,347.26,-21.3397
[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,-0.09,,,,,181.97,4,4,3,40.8196,74.6,-0.2476
[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)N)O)O,-2.45,,,,,193.06,5,6,1,38.0946,133.24,-3.7284
[C@@H]1([C@H]2[C@@H](C(O[C@@H]1C(=O)O2)O)O)O,-2.32,,,,,176.03,3,6,0,32.7734,96.22,-2.6492
[C@H]1([C@@H]2[C@@H]([C@H](C(=O)O2)O)O[C@H]1O)O,-2.33,,,,,176.03,3,6,0,32.7734,96.22,-2.6492
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],5.12,,,,,297.95,0,6,0,38.7936,221.32,-6.83985
[C-]#N.[C-]#N.[K+].[Au+],4.43,,,,,287.94,0,2,0,9.936,47.58,-2.80576
[Ca+2].[Br-].[Br-],3.21,,,,,197.8,0,0,0,5.754,0,-6.3728
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],6.52,,,,,186.01,0,0,0,44.07,0,2.8085
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Ni+2],6.52,,,,,188.01,0,0,0,44.07,0,2.8085
[CH-]1C=CC=C1.[CH-]1C=CC=C1.Cl[V]Cl,4.72,,,,,249.96,0,0,0,55.776,0,4.1875
[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC\4(C(C5C6(C(C(C(=N6)/C(=C\7/C(C(C(=N7)/C=C\8/C(C(C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3],2.22,,,,,1343.59,9,19,26,338.0152,464.92,3.76313
[Cl-].[Cl-].[Ba+2],-0.19,,,,,207.84,0,0,0,5.754,0,-6.3728
[Cl-].[Cl-].[Ca+2],-8.28,,,,,109.9,0,0,0,5.754,0,-6.3728
[Cl-].[Cl-].[Cd+2],-8.17,,,,,183.84,0,0,0,0,0,-5.9945
[H+].[B-](F)(F)(F)F,6.03,,,,,88.01,0,0,0,11.298,0,1.4125
[H+].[H+].CCOC1=CC=C(C=C1)C[C@@H](CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Gd+3],-4.3,0.9,,,0.787107236,682.11,0,14,20,116.815,219.6,-7.1231
[I-].[I-].[Hg+2],-7.95,,,,,455.78,0,0,0,0,0,-5.9945
[K+].[I-],-3.81,,,,,165.87,0,0,0,0,0,-5.992
[Li+].[Li+].[Li+].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)[O-])C(C(=O)NCCC(=O)NCCS)O.O.O,-1.28,,,,,821.16,7,21,18,164.0573,418.05,-14.1987
[Li+].[Li+].[O-]S(=O)(=O)[O-],-2.02,,,,,109.98,0,4,0,10.4746,80.26,-7.33
[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1.7573,,,,,286.93,0,4,2,33.3086,82.38,-1.9367
[Li+].C(F)(F)(F)S(=O)(=O)[O-],0.433456,,,,,155.97,0,3,0,15.7522,57.2,-2.9446
