,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
22,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,5.87,0.003,,,529.17,2,4,8,139.9490999999999,69.99999999999999,5.867000000000004
23,[2H]C([2H])(Oc1cc(F)cc(F)c1C([2H])([2H])C([2H])([2H])[2H])C(=O)N(Cc1n[nH]c(=N)o1)Cc1ccc(S(N)(=O)=O)cc1F,1.89,0.06,,,506.16,3,7,10,109.9666,155.36999999999998,1.7170700000000003
24,[2H]C1(C([N+]2=CC=CC=C2C3=CC=CC=[N+]31)([2H])[2H])[2H].[Br-].[Br-],-2.29737,,,,345.96,0,0,0,52.26800000000003,7.76,-5.049799999999998
25,[3H]C([3H])([3H])O/N=C1/C=C(C#Cc2cccc(C)n2)CCC1,2.85,0.044,,,246.15,0,3,2,72.23000000000002,34.480000000000004,2.8542200000000015
26,[Al](Cl)(Cl)Cl,1.65,0.02,,2.585012326,131.89,0,0,0,23.313000000000002,0.0,1.6877
27,[B-](F)(F)(F)F.[K+],6.03,,,,125.97,0,0,0,10.186000000000002,0.0,-1.696
28,[B-](F)(F)(F)F.[Na+],6.03,,,,109.99,0,0,0,10.186000000000002,0.0,-1.696
29,[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-],-2.02,,,,177.01,0,4,0,30.683799999999998,206.26,-5.017599999999998
30,[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O,-2.49,,,,210.04,6,6,5,39.2988,155.52,-3.4007999999999994
31,[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].O.O.O.[K+].[K+].[Sb+3].[Sb+3],-0.86,,,,665.74,0,12,6,57.52940000000002,347.26,-21.339700000000004
32,[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,-0.09,,,,181.97,4,4,3,40.81960000000001,74.6,-0.24759999999999993
33,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)N)O)O,-2.45,,,,193.06,5,6,1,38.09459999999999,133.23999999999998,-3.728399999999999
