SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,3.6881742537017175,1.965984476132442,200-300,100-150,3-5,7-10,1-3,0-1,0.4669491002992958
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.6881749262432497,3.0111742796952568,300-400,75-100,5-7,7-10,3-5,3-4,0.18355981839226235
CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4,3.6881745899724834,3.7518379385882503,400-500,75-100,7-10,7-10,<1,>=4,0.017261479394059986
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3.6881742537017175,1.327946504879594,300-400,75-100,<3,3-5,<1,2-3,0.6399447018954277
CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,3.6881749262432497,2.1082045054813006,300-400,50-75,3-5,5-7,<1,1-2,0.4283881928016004
CC(C)N(C(=O)CCl)c1ccccc1,3.6881745899724834,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.4054863452584078
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,3.6881742537017175,3.2749914729946883,300-400,75-100,3-5,5-7,<1,0-1,0.1120290749737351
CON=C(C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,3.6881745899724834,3.7518379385882503,400-500,75-100,7-10,7-10,<1,>=4,0.017261479394059986
C[C@H](CF)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,3.6881742537017175,3.6006000007279004,300-400,50-75,5-7,3-5,1-3,>=4,0.02374460652833708
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,3.6881745899724834,3.7184368000437407,200-300,<50,3-5,3-5,1-3,3-4,0.00820520011783281
CC1=CC(=C(C=C1)OC)N,3.6881745899724834,3.925732183746517,<200,<50,<3,1-3,1-3,1-2,0.06441061613930557
COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,3.6881742537017175,3.9636527532089056,300-400,<50,5-7,3-5,<1,2-3,0.07469237082468234
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,3.6881752625140156,0.6859522691495428,200-300,75-100,3-5,3-5,1-3,0-1,0.8140132660803745
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,3.6881742537017175,5.920150591130186,200-300,50-75,>=10,3-5,1-3,3-4,0.6051710190281963
COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,3.6881742537017175,3.6327328488112802,400-500,>=150,7-10,>=10,1-3,3-4,0.015032207524456342
CCc1cc2c(cc1CC)CC(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,3.6881742537017175,2.6281924485456436,300-400,75-100,5-7,3-5,3-5,3-4,0.28740012087973416
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.6881749262432497,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.16482295868294078
O=C(c1ccc(O)cc1)c1ccc(O)cc1O,3.6881742537017175,4.001584511406435,200-300,75-100,<3,3-5,3-5,2-3,0.08497706801299451
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3.6881739174309516,1.0436381581317689,200-300,50-75,<3,3-5,1-3,<0,0.7170310784546484
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.6881745899724834,3.2104082761500496,300-400,50-75,3-5,3-5,1-3,>=4,0.1295400502885185
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,3.6881745899724834,2.557794902195457,300-400,100-150,5-7,5-7,1-3,3-4,0.30648758056679926
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,3.6881739174309516,4.597751394682993,300-400,50-75,<3,3-5,<1,>=4,0.246619966154258
O=C(NC(Cc1ccccc1)C(O)C(=O)N1CC(O)C(O)C1)c1cc2cc(Cl)ccc2[nH]1,3.6881745899724834,1.84333733145567,400-500,100-150,5-7,5-7,5-7,0-1,0.5002033511538444
CC(C)C1=CC(=CC=C1)O,3.6881742537017175,3.944133307106349,<200,<50,<3,1-3,1-3,3-4,0.06939992982041984
C1=CC=C(C=C1)OCCO,3.6881749262432497,3.839829166306212,<200,<50,3-5,1-3,1-3,1-2,0.041119051962973954
CC(=O)Nc1ccc(O)cc1,3.6881745899724834,0.649946912270624,<200,<50,<3,1-3,1-3,0-1,0.8237754625449429
C(=C(Cl)Cl)Cl,3.6881745899724834,3.365100801984549,<200,<50,<3,<1,<1,2-3,0.08759720711162047
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,3.6881742537017175,1.7580465376935106,200-300,50-75,5-7,5-7,<1,0-1,0.5233287365837433
CCOC1=CC=CC=C1C(=O)N,3.6881742537017175,1.4603785829915767,<200,50-75,3-5,1-3,1-3,1-2,0.6040374862502176
CN(C)C(=O)Nc1ccc(Cl)cc1,3.6881742537017175,2.180610638099671,<200,<50,<3,1-3,1-3,1-2,0.40875604019837025
