SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,3.6376733442168523,5.296865463046069,200-300,<50,<3,1-3,1-3,3-4,0.4561135353461182
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,3.6376733442168523,4.348069046945451,400-500,100-150,7-10,7-10,3-5,2-3,0.1952884731003131
Oc1ccccc1Cc1ccccc1O,3.637674025812555,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.4744032520920164
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.6376733442168523,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.010191498364745642
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,3.6376733442168523,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.2700340299290841
CC(CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,3.6376736850147036,3.0612578074341887,400-500,100-150,7-10,7-10,3-5,2-3,0.15845728820023744
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.6376733442168523,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.06730246151518547
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.6376726626211493,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.28754467546059115
CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NN2C3=CC=CC=C3)C)C(=O)N[C@@H](C)C(C)(C)C,3.6376733442168523,2.933040419609829,400-500,75-100,5-7,5-7,1-3,>=4,0.19370427976150809
CCNc1ccccc1,3.6376733442168523,4.033634082553319,<200,<50,<3,1-3,1-3,2-3,0.10884999402501067
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.6376736850147036,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.18099400062536827
Nc1cc(Cl)cc(Cl)c1,3.6376736850147036,5.393919458287381,<200,<50,<3,1-3,1-3,2-3,0.4827936798237232
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,3.637674025812555,5.998935073111827,300-400,50-75,7-10,5-7,1-3,>=4,0.6491129700632372
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.6376736850147036,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.7420382742463784
