SMILES,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C[C@@H]1CN(C[C@@H](N1)C)C(=O)N[C@H](CC2=CC=C(C=C2)F)C(=O)N3CCC(CC3)(C4CCCCC4)C(=O)NC(C)(C)C,0.5382576652427934,0.773254485201691,0.6000000000000001,0.4,0.30000000000000004,0.806381918658953,0.4519300274685557
C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN4CCOc5c(F)cc(F)cc54)c3o2)CCO1,0.4930454269601017,0.6701234144669179,0.0,0.7000000000000001,0.2,0.6654827983579223,0.3636451255361187
C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5ccc(F)cc54)c3o2)CCO1,0.38877803536193306,0.704433778996686,0.0,0.8,0.2,0.7099070630365436,0.40812490964290876
C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)C4=CC5=C(C=C4)C(=NO5)C,0.7013557730715114,0.5987744257799108,0.2,0.6000000000000001,0.2,0.6262297679648589,0.4938075273480796
C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C,0.47086039184499445,0.49147240315392515,0.4,0.5,0.05,0.5612678513475834,0.32244229193773793
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(C)(=O)=O)C2CC2)C1=O,0.45170578569947295,0.7242886527254028,0.2,0.4,0.4,0.6929088269038264,0.4421473663919811
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,0.44514962978829137,0.47157467717975077,0.6000000000000001,0.5,0.1,0.48273182564072875,0.4569900245771288
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,0.7353962242908997,0.3429750885613073,0.2,0.2,0.0,0.39640949146482246,0.17975037347597705
C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O,0.7968287383071055,0.4559336075877042,0.2,0.2,0.05,0.5348321888257256,0.15960676593899087
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,0.4061390957485225,0.48884413209918853,0.4,0.2,0.05,0.5426311942950854,0.2804684111609079
C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C,0.46388411421455444,0.44302079762312874,0.0,0.30000000000000004,0.0,0.48082524407443694,0.20900197580839475
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,0.5571101612678478,0.45160553079648036,0.4,0.4,0.1,0.47579520043230744,0.3595007469519541
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,0.5646653494604119,0.3887698548737287,0.2,0.2,0.0,0.4435509142094162,0.17975037347597705
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,0.6770827373622401,0.3658724717175179,0.0,0.2,0.0,0.41502430967679027,0.16452219170160473
C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC)O,0.5633065007202311,0.6815363958404753,0.4,0.9,0.30000000000000004,0.7007652228145796,0.5210351308370681
C[C@H](CC1=CC(=CC=C1)CC(=O)NC23CC4CC(C2)CC(C4)C3)NC[C@@H](C5=CC(=C(C=C5)O)CO)O,0.6503805574647556,0.6602816820934749,1.0,0.5,0.5,0.707729781423679,0.4906751481856296
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C,0.9779500075143198,0.5558221917495143,0.4,0.30000000000000004,0.30000000000000004,0.5484525149964271,0.2928533564647487
C[C@H](CF)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,0.5799119438806838,0.5244543480745056,0.4,0.30000000000000004,0.30000000000000004,0.5723279543761227,0.2928533564647487
C[C@H](CO)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,0.6775716684883095,0.5344532053479601,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.6062832883605582,0.3689460748879572
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,0.48497896810731334,0.5042566563821277,0.6000000000000001,0.8,0.30000000000000004,0.4861016095225471,0.4672063996915811
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=C(C(=CC=C3)Cl)F,0.6353208061448629,0.5284681750657066,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.5037011755898646,0.4380511782564696
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3,0.631629740244695,0.45426237001485537,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.47846969657724425,0.4380511782564696
